Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",19y 69d,10 (6-0-4 60.00%),1 (0.10),←,
18,"Cameron, Jeremy",27y 150d,167 (76-3-88 46.41%),425 (2.54),←,
3,"Coniglio, Stephen",26y 258d,146 (69-1-76 47.60%),83 (0.57),←,
35,"Corr, Aidan",26y 104d,96 (46-3-47 49.48%),2 (0.02),←,
16,"Daniels, Brent",21y 173d,46 (28-0-18 60.87%),17 (0.37),←,
24,"de Boer, Matt",30y 172d,197 (115-4-78 59.39%),75 (0.38),59 (37-3-19 65.25%),27 (0.46)
4,"Greene, Toby",26y 339d,154 (71-1-82 46.43%),181 (1.18),←,
19,"Haynes, Nick",28y 103d,141 (70-3-68 50.71%),9 (0.06),←,
37,"Hill, Bobby",20y 202d,11 (6-0-5 54.55%),9 (0.82),←,
27,"Himmelberg, Harry",24y 113d,78 (49-1-28 63.46%),91 (1.17),←,
2,"Hopper, Jacob",23y 205d,80 (50-1-29 63.13%),30 (0.38),←,
25,"Keeffe, Lachlan",30y 137d,67 (39-0-28 58.21%),14 (0.21),27 (14-0-13 51.85%),7 (0.26)
22,"Kelly, Josh",25y 199d,130 (74-2-54 57.69%),82 (0.63),←,
40,"Kennedy, Adam",28y 48d,118 (47-0-71 39.83%),12 (0.10),←,
38,"Lloyd, Daniel",28y 193d,47 (27-3-17 60.64%),35 (0.74),←,
41,"Mumford, Shane",34y 55d,199 (129-4-66 65.83%),53 (0.27),99 (60-2-37 61.62%),14 (0.14)
36,"Perryman, Harry",21y 254d,49 (26-1-22 54.08%),13 (0.27),←,
26,"Riccardi, Jake",20y 296d,2 (1-0-1 50.00%),6 (3.00),←,
23,"Shaw, Heath",34y 276d,321 (195-5-121 61.53%),41 (0.13),148 (85-3-60 58.45%),4 (0.03)
14,"Taranto, Tim",22y 214d,70 (43-1-26 62.14%),28 (0.40),←,
6,"Whitfield, Lachie",26y 42d,146 (72-3-71 50.34%),61 (0.42),←,
29,"Williams, Zac",25y 344d,110 (58-0-52 52.73%),25 (0.23),←,
Totals,Totals,26y 30d,2385 (1297-36-1052 54.38%),1293 (0.54),,
C,"Cameron, Leon",47y 362d,156 (86-3-67 56.09%),,←,
