0,1,2,3,4,5,6
←,"Round: 13 Venue: Princes Park Date: Sat, 13-Jun-1992 2:10 PM Attendance: 14433","Round: 13 Venue: Princes Park Date: Sat, 13-Jun-1992 2:10 PM Attendance: 14433","Round: 13 Venue: Princes Park Date: Sat, 13-Jun-1992 2:10 PM Attendance: 14433","Round: 13 Venue: Princes Park Date: Sat, 13-Jun-1992 2:10 PM Attendance: 14433","Round: 13 Venue: Princes Park Date: Sat, 13-Jun-1992 2:10 PM Attendance: 14433",→
←,Carlton,4.1.25,11.2.68,13.8.86,17.13.115,→
←,Adelaide,3.6.24,8.9.57,10.12.72,13.14.92,→
←,Qrt margin,CA by 1,CA by 11,CA by 14,CA by 23,→
←,Qrt scores,CA 25-24,CA 43-33,CA 18-15,CA 29-20,→
←,Field umpires,"David Howlett (111), Bryan Sheehan (129)","David Howlett (111), Bryan Sheehan (129)","David Howlett (111), Bryan Sheehan (129)","David Howlett (111), Bryan Sheehan (129)",→
