Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Alessio, Steven",7,1,3,10,,,13.0,1.0,2.0,1.0,4.0,,1.0,,,7.0,4.0,,,1.0,,,73.0
36,"Bannister, Jordan",6,4,5,11,,,,1.0,,1.0,,,,,,3.0,8.0,,,1.0,1.0,,43.0
13,"Cupido, Damian",15,5,,15,2,2.0,,2.0,1.0,3.0,,4.0,2.0,2.0,,7.0,10.0,,2.0,,1.0,,100.0
15,"Forster-Knight, Robert",6,5,4,10,,,,1.0,2.0,,2.0,,,,,2.0,8.0,,,,,,30.0
19,"Hille, David",2,2,5,7,1,,10.0,,,,2.0,3.0,1.0,1.0,,4.0,4.0,,1.0,1.0,,1.0,67.0
5,"Hird, James",15,4,3,18,,,,2.0,1.0,3.0,5.0,1.0,2.0,,,10.0,9.0,,,1.0,,,92.0
21,"Jacobs, Danny",16,4,5,21,,,,1.0,9.0,,1.0,2.0,2.0,,,9.0,9.0,,,10.0,6.0,,100.0
14,"Johnson, Jason",14,12,8,22,,1.0,1.0,1.0,2.0,3.0,3.0,1.0,,,,5.0,17.0,,,,3.0,,76.0
1,"Johnson, Mark",9,3,7,16,,,,2.0,3.0,1.0,1.0,3.0,2.0,3.0,,7.0,7.0,,,1.0,1.0,,93.0
18,"Lloyd, Matthew",6,3,3,9,4,1.0,,1.0,,1.0,,,1.0,,,5.0,3.0,1.0,2.0,2.0,,,100.0
25,"Lucas, Scott",12,7,6,18,,,,2.0,4.0,3.0,1.0,4.0,1.0,2.0,,5.0,15.0,,,2.0,,,100.0
33,"McPhee, Adam",10,7,3,13,,,1.0,1.0,2.0,1.0,,1.0,,,,4.0,9.0,,,2.0,,,100.0
10,"McVeigh, Mark",12,5,3,15,,1.0,,4.0,1.0,6.0,,1.0,1.0,1.0,,2.0,12.0,,,2.0,1.0,1.0,85.0
2,"Mercuri, Mark",5,5,8,13,,1.0,,2.0,1.0,2.0,,,,,,3.0,9.0,,1.0,,,,85.0
24,"Misiti, Joe",13,6,7,20,,,,3.0,,3.0,3.0,2.0,2.0,1.0,,7.0,11.0,,,,,1.0,82.0
11,"Peverill, Damien",12,6,7,19,,,,1.0,4.0,,2.0,,2.0,,,7.0,12.0,,,4.0,1.0,,87.0
9,"Ramanauskas, Adam",11,6,12,23,,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,,,9.0,13.0,,,2.0,,,100.0
29,"Reynolds, Joel",7,4,1,8,,,,3.0,1.0,6.0,,4.0,1.0,2.0,,2.0,6.0,,,1.0,,,82.0
43,"Rioli, Dean",10,3,7,17,1,1.0,,1.0,1.0,5.0,6.0,1.0,,,,10.0,8.0,1.0,1.0,,3.0,,63.0
7,"Solomon, Dean",13,7,,13,,,,,2.0,2.0,,3.0,,2.0,,3.0,10.0,,,3.0,,,100.0
6,"Wellman, Sean",14,7,3,17,,,,1.0,6.0,2.0,,7.0,,3.0,,6.0,12.0,2.0,,3.0,,,100.0
12,"Welsh, Andrew",7,3,2,9,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,4.0,5.0,1.0,,2.0,,,41.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,109,102,324,8,13.0,26.0,37.0,45.0,47.0,32.0,39.0,20.0,18.0,,121.0,201.0,5.0,7.0,38.0,17.0,3.0,
Opposition,Opposition,213,94,88,301,14,20.0,33.0,30.0,30.0,68.0,33.0,41.0,18.0,20.0,6.0,118.0,174.0,11.0,14.0,49.0,20.0,5.0,
