West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
14,"Brennan, Jacob",23y 93d,19 (10-0-9 52.63%),2 (0.11),←,
1,"Brown, Mitch",24y 131d,54 (19-0-35 35.19%),10 (0.19),←,
26,"Butler, Sam",27y 103d,97 (52-0-45 53.61%),12 (0.12),←,
20,"Cox, Dean",31y 269d,256 (130-1-125 50.98%),151 (0.59),←,
15,"Cripps, Jamie",21y 4d,21 (9-0-12 42.86%),21 (1.00),5 (1-0-4 20.00%),5 (1.00)
18,"Dalziell, Bradd",26y 43d,29 (10-0-19 34.48%),9 (0.31),14 (4-0-10 28.57%),5 (0.36)
27,"Darling, Jack",20y 318d,52 (33-0-19 63.46%),87 (1.67),←,
3,"Gaff, Andrew",20y 315d,46 (29-0-17 63.04%),19 (0.41),←,
23,"Glass, Darren",31y 348d,247 (130-2-115 53.04%),8 (0.03),←,
43,"Hams, Ashton",26y 233d,36 (21-0-15 58.33%),40 (1.11),←,
33,"Hill, Josh",24y 98d,93 (56-1-36 60.75%),118 (1.27),27 (17-0-10 62.96%),43 (1.59)
25,"Hurn, Shannon",25y 235d,127 (65-0-62 51.18%),39 (0.31),←,
17,"Kennedy, Josh",25y 245d,104 (38-1-65 37.02%),183 (1.76),82 (35-0-47 42.68%),172 (2.10)
4,"Kerr, Daniel",29y 346d,213 (116-2-95 54.93%),119 (0.56),←,
2,"LeCras, Mark",26y 240d,104 (48-0-56 46.15%),241 (2.32),←,
16,"Mackenzie, Eric",24y 343d,82 (35-0-47 42.68%),1 (0.01),←,
7,"Masten, Chris",23y 360d,83 (37-0-46 44.58%),40 (0.48),←,
11,"Priddis, Matt",28y 37d,135 (64-0-71 47.41%),40 (0.30),←,
10,"Selwood, Scott",23y 31d,97 (46-0-51 47.42%),28 (0.29),←,
13,"Shuey, Luke",22y 329d,57 (35-0-22 61.40%),50 (0.88),←,
22,"Sinclair, Callum",23y 216d,4 (1-0-3 25.00%),3 (0.75),←,
8,"Waters, Beau",27y 28d,116 (66-0-50 56.90%),25 (0.22),←,
Totals,Totals,25y 165d,2072 (1050-7-1015 50.68%),1246 (0.60),,
C,"Worsfold, John",44y 214d,264 (141-2-121 53.79%),,←,
