Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
28,"Bell, Tom",22y 311d,20 (11-0-9 55.00%),10 (0.50),←,
44,"Carrazzo, Andrew",30y 126d,167 (69-3-95 42.22%),47 (0.28),←,
41,"Casboult, Levi",24y 36d,19 (8-0-11 42.11%),15 (0.79),←,
16,"Cripps, Patrick",19y 33d,2 (1-0-1 50.00%),,←,
35,"Curnow, Ed",24y 164d,56 (32-1-23 58.04%),11 (0.20),←,
46,"Ellard, David",25y 38d,45 (22-0-23 48.89%),29 (0.64),←,
33,"Everitt, Andrejs",25y 38d,84 (52-3-29 63.69%),36 (0.43),5 (1-0-4 20.00%),4 (0.80)
4,"Gibbs, Bryce",25y 36d,160 (74-1-85 46.56%),84 (0.52),←,
23,"Henderson, Lachie",24y 127d,89 (42-1-46 47.75%),67 (0.75),74 (34-1-39 46.62%),64 (0.86)
5,"Judd, Chris",30y 224d,260 (148-3-109 57.50%),217 (0.83),126 (64-1-61 51.19%),79 (0.63)
9,"Lucas, Kane",22y 298d,38 (20-0-18 52.63%),14 (0.37),←,
3,"Murphy, Marc",26y 275d,170 (77-1-92 45.59%),137 (0.81),←,
17,"Rowe, Sam",26y 152d,14 (6-0-8 42.86%),9 (0.64),←,
29,"Scotland, Heath",33y 273d,266 (113-2-151 42.86%),81 (0.30),213 (90-2-121 42.72%),69 (0.32)
6,"Simpson, Kade",29y 350d,205 (85-2-118 41.95%),118 (0.58),←,
39,"Thomas, Dale",26y 303d,162 (104-2-56 64.81%),123 (0.76),5 (1-0-4 20.00%),2 (0.40)
42,"Tuohy, Zach",24y 131d,59 (31-0-28 52.54%),22 (0.37),←,
30,"Waite, Jarrad",31y 75d,172 (62-3-107 36.92%),229 (1.33),←,
1,"Walker, Andrew",27y 337d,169 (64-3-102 38.76%),116 (0.69),←,
11,"Warnock, Robert",27y 91d,75 (37-1-37 50.00%),13 (0.17),54 (27-1-26 50.93%),9 (0.17)
43,"White, Simon",25y 307d,29 (18-1-10 63.79%),2 (0.07),←,
13,"Yarran, Chris",23y 122d,89 (42-1-46 47.75%),73 (0.82),←,
Totals,Totals,26y 92d,2350 (1118-28-1204 47.57%),1453 (0.62),,
C,"Malthouse, Mick",60y 246d,693 (399-6-288 58.01%),,29 (13-0-16 44.83%),
