North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",25y 44d,107 (52-1-54 49.07%),106 (0.99),←,
11,"Archer, Glenn",20y 107d,22 (12-0-10 54.55%),10 (0.45),←,
12,"Blakey, John",26y 350d,145 (59-0-86 40.69%),40 (0.28),10 (7-0-3 70.00%),2 (0.20)
18,"Carey, Wayne",22y 43d,74 (38-0-36 51.35%),165 (2.23),←,
23,"Clarkson, Alastair",25y 73d,71 (30-2-39 43.66%),55 (0.77),←,
27,"Crocker, Darren",26y 105d,110 (49-1-60 45.00%),69 (0.63),←,
29,"German, Peter",28y 157d,172 (84-3-85 49.71%),198 (1.15),←,
26,"Ishchenko, Alex",29y 80d,102 (42-0-60 41.18%),35 (0.34),30 (16-0-14 53.33%),10 (0.33)
9,"Larkin, Matthew",28y 324d,170 (87-3-80 52.06%),143 (0.84),←,
35,"Longmire, John",22y 190d,104 (49-1-54 47.60%),331 (3.18),←,
20,"Mann, Peter",22y 305d,15 (4-0-11 26.67%),6 (0.40),←,
4,"Martyn, Mick",24y 312d,106 (52-1-53 49.53%),11 (0.10),←,
41,"McAdam, Adrian",22y 119d,10 (7-0-3 70.00%),52 (5.20),←,
22,"Roberts, Mark",28y 11d,104 (43-0-61 41.35%),57 (0.55),27 (17-0-10 62.96%),38 (1.41)
3,"Rock, Anthony",22y 283d,61 (32-0-29 52.46%),59 (0.97),←,
1,"Romero, Jose",21y 342d,71 (37-0-34 52.11%),85 (1.20),←,
2,"Schwass, Wayne",24y 224d,91 (44-0-47 48.35%),46 (0.51),←,
24,"Sholl, Craig",25y 191d,78 (41-0-37 52.56%),14 (0.18),←,
15,"Smith, Ross",28y 156d,165 (78-2-85 47.88%),33 (0.20),←,
10,"Stevens, Anthony",22y 7d,56 (29-0-27 51.79%),22 (0.39),←,
Totals,Totals,24y 336d,1834 (869-14-951 47.38%),1537 (0.84),,
C,"Pagan, Denis",45y 288d,14 (10-0-4 71.43%),,←,
