Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",30y 38d,266 (146-2-118 55.26%),356 (1.34),74 (22-0-52 29.73%),94 (1.27)
11,"Bennell, Harley",21y 262d,57 (15-0-42 26.32%),73 (1.28),←,
36,"Broughton, Greg",27y 265d,98 (43-0-55 43.88%),19 (0.19),30 (14-0-16 46.67%),4 (0.13)
12,"Day, Sam",21y 288d,55 (18-0-37 32.73%),36 (0.65),←,
23,"Dixon, Charlie",23y 271d,44 (15-0-29 34.09%),46 (1.05),←,
5,"Harbrow, Jarrod",25y 338d,139 (62-1-76 44.96%),41 (0.29),69 (22-0-47 31.88%),20 (0.29)
28,"Kolodjashnij, Kade",18y 316d,11 (6-0-5 54.55%),4 (0.36),←,
19,"Lynch, Tom",21y 233d,51 (16-0-35 31.37%),62 (1.22),←,
4,"Martin, Jack",19y 143d,2 (2-0-0 100.00%),1 (0.50),←,
32,"Matera, Brandon",22y 102d,51 (17-0-34 33.33%),55 (1.08),←,
17,"May, Steven",22y 162d,47 (16-0-31 34.04%),15 (0.32),←,
18,"McKenzie, Trent",22y 79d,70 (21-0-49 30.00%),19 (0.27),←,
1,"OMeara, Jaeger",20y 118d,35 (16-0-19 45.71%),23 (0.66),←,
10,"Prestia, Dion",21y 252d,64 (18-0-46 28.13%),18 (0.28),←,
35,"Rischitelli, Michael",28y 164d,170 (65-3-102 39.12%),75 (0.44),59 (16-0-43 27.12%),28 (0.47)
8,"Russell, Luke",22y 148d,54 (14-0-40 25.93%),23 (0.43),←,
6,"Sexton, Alex",20y 200d,15 (5-0-10 33.33%),4 (0.27),←,
26,"Shaw, Matt",22y 136d,65 (19-0-46 29.23%),24 (0.37),←,
2,"Smith, Zac",24y 119d,50 (11-0-39 22.00%),28 (0.56),←,
25,"Stanley, Danny",26y 123d,71 (22-0-49 30.99%),35 (0.49),66 (21-0-45 31.82%),35 (0.53)
24,"Swallow, David",21y 214d,64 (19-0-45 29.69%),33 (0.52),←,
16,"Thompson, Rory",23y 101d,44 (15-0-29 34.09%),7 (0.16),←,
Totals,Totals,23y 52d,1523 (581-6-936 38.15%),997 (0.65),,
C,"McKenna, Guy",45y 41d,79 (22-0-57 27.85%),,←,
