Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 121d,7 (2-0-5 28.57%),8 (1.14),←,
10,"Ashcroft, Marcus",23y 273d,116 (30-1-85 26.29%),65 (0.56),←,
1,"Champion, Richard",27y 72d,84 (21-1-62 25.60%),32 (0.38),←,
5,"Chapman, Nathan",20y 49d,32 (6-0-26 18.75%),11 (0.34),←,
16,"Clarke, Matthew",21y 280d,33 (13-0-20 39.39%),2 (0.06),←,
20,"Craven, Danny",28y 53d,57 (24-1-32 42.98%),17 (0.30),24 (6-0-18 25.00%),7 (0.29)
6,"Fletcher, Adrian",25y 258d,96 (41-0-55 42.71%),47 (0.49),51 (16-0-35 31.37%),27 (0.53)
8,"Gowers, Andrew",26y 75d,100 (63-0-37 63.00%),55 (0.55),11 (4-0-7 36.36%),1 (0.09)
32,"Hart, Shaun",24y 39d,71 (16-1-54 23.24%),37 (0.52),←,
21,"Hodges, Shane",20y 173d,2 (1-0-1 50.00%),,←,
41,"Kennedy, Matthew",25y 141d,82 (20-0-62 24.39%),20 (0.24),←,
44,"Lappin, Nigel",19y 4d,26 (10-0-16 38.46%),15 (0.58),←,
34,"Lawrence, Steven",19y 37d,9 (3-0-6 33.33%),,←,
23,"Leppitsch, Justin",19y 267d,19 (6-0-13 31.58%),13 (0.68),←,
17,"Leslie, Martin",32y 220d,107 (28-1-78 26.64%),11 (0.10),←,
2,"McAdam, Gilbert",28y 87d,81 (42-1-38 52.47%),75 (0.93),28 (12-0-16 42.86%),27 (0.96)
7,"McIvor, Scott",28y 320d,174 (61-0-113 35.06%),89 (0.51),119 (35-0-84 29.41%),74 (0.62)
4,"McRae, Craig",21y 276d,12 (4-0-8 33.33%),10 (0.83),←,
22,"Scott, Chris",19y 53d,23 (8-0-15 34.78%),16 (0.70),←,
38,"Scott, Dion",25y 85d,34 (11-0-23 32.35%),19 (0.56),28 (10-0-18 35.71%),19 (0.68)
33,"White, Darryl",22y 13d,57 (17-1-39 30.70%),51 (0.89),←,
Totals,Totals,23y 242d,1222 (427-7-788 34.94%),593 (0.49),,
C,"Walls, Robert",44y 339d,297 (139-2-156 47.14%),,98 (24-1-73 25.00%),
