St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Ball, Luke",8,4,7,15,2,,1.0,11.0,,1.0,4.0,1.0,3.0,1.0,,10.0,5.0,,,2.0,,,72.0
27,"Blake, Jason",3,4,12,15,,,3.0,2.0,1.0,,,6.0,,3.0,,7.0,7.0,1.0,2.0,3.0,,1.0,91.0
16,"Clarke, Raphael",5,6,10,15,,,,1.0,1.0,1.0,1.0,,,,,4.0,11.0,,,5.0,1.0,,72.0
3,"Clarke, Xavier",5,1,3,8,,,,5.0,,3.0,,,2.0,,,2.0,6.0,,,2.0,,1.0,85.0
26,"Dal Santo, Nick",11,7,9,20,,,,4.0,6.0,3.0,2.0,,,,,5.0,14.0,,,1.0,7.0,,77.0
17,"Fiora, Aaron",7,1,6,13,,,,2.0,1.0,2.0,2.0,1.0,1.0,,,6.0,7.0,,,3.0,1.0,,87.0
6,"Fisher, Leigh",5,5,3,8,,,,3.0,,3.0,2.0,,1.0,,,3.0,6.0,,,1.0,,1.0,59.0
25,"Fisher, Sam",11,4,10,21,,,,2.0,2.0,2.0,,2.0,,1.0,,3.0,16.0,,,6.0,,,97.0
42,"Geary, Jarryn",5,2,4,9,,2.0,,3.0,,1.0,1.0,1.0,1.0,,,4.0,4.0,,,,,,53.0
9,"Gehrig, Fraser",5,2,,5,1,1.0,,,,2.0,,,1.0,,,2.0,3.0,1.0,,,,,85.0
19,"Gilbert, Sam",8,2,6,14,,,,4.0,,3.0,1.0,3.0,,2.0,,7.0,7.0,,,5.0,1.0,,92.0
18,"Goddard, Brendon",13,10,7,20,,,,1.0,5.0,3.0,1.0,2.0,1.0,1.0,,3.0,17.0,1.0,,4.0,,,86.0
1,"Gram, Jason",14,,6,20,1,,,1.0,2.0,5.0,1.0,3.0,,2.0,,5.0,14.0,,,4.0,1.0,1.0,100.0
35,"Harvey, Robert",7,5,11,18,,,,1.0,2.0,2.0,1.0,,1.0,,,4.0,14.0,,,,,,64.0
7,"Hayes, Lenny",6,2,9,15,,,,12.0,,2.0,5.0,4.0,1.0,3.0,,9.0,6.0,1.0,,2.0,,,83.0
8,"Hudghton, Max",6,5,4,10,,,,,2.0,1.0,,3.0,,1.0,,1.0,8.0,,,7.0,2.0,,89.0
2,"King, Steven",4,2,8,12,,,19.0,3.0,,,4.0,4.0,3.0,3.0,,4.0,8.0,,,,,,76.0
23,"Koschitzke, Justin",6,5,4,10,3,1.0,9.0,3.0,,1.0,,2.0,2.0,1.0,,9.0,1.0,4.0,3.0,,,,83.0
44,"Milne, Stephen",8,2,1,9,2,2.0,,2.0,,2.0,,2.0,,1.0,,4.0,4.0,,1.0,1.0,,,91.0
11,"Montagna, Leigh",14,5,6,20,1,,,2.0,3.0,4.0,2.0,,4.0,,,8.0,11.0,,1.0,1.0,3.0,,86.0
12,"Riewoldt, Nick",6,6,4,10,2,,1.0,2.0,,,,2.0,,2.0,,4.0,6.0,2.0,3.0,1.0,,,94.0
13,"Schneider, Adam",15,6,5,20,1,2.0,,4.0,2.0,7.0,3.0,2.0,,2.0,,5.0,14.0,1.0,,,2.0,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,172,86,135,307,13,9.0,33.0,68.0,27.0,48.0,30.0,38.0,21.0,23.0,,109.0,189.0,11.0,10.0,48.0,18.0,4.0,
Opposition,Opposition,243,128,152,395,19,11.0,30.0,53.0,33.0,50.0,37.0,44.0,23.0,20.0,6.0,137.0,255.0,13.0,12.0,49.0,30.0,9.0,
