St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
26,"Battle, Josh",22y 9d,38 (16-0-22 42.11%),21 (0.55),←,
15,"Billings, Jack",25y 23d,123 (47-1-75 38.62%),87 (0.71),←,
16,"Butler, Dan",24y 99d,61 (40-0-21 65.57%),79 (1.30),16 (9-0-7 56.25%),26 (1.63)
11,"Clark, Hunter",21y 168d,44 (18-1-25 42.05%),6 (0.14),←,
1,"Coffield, Nick",20y 323d,33 (12-1-20 37.88%),1 (0.03),←,
14,"Geary, Jarryn",32y 79d,201 (99-2-100 49.75%),31 (0.15),←,
8,"Hill, Bradley",27y 63d,165 (103-0-62 62.42%),80 (0.48),16 (9-0-7 56.25%),1 (0.06)
40,"Hind, Nick",26y 22d,21 (9-0-12 42.86%),17 (0.81),←,
20,"Howard, Dougal",24y 169d,61 (32-0-29 52.46%),15 (0.25),16 (9-0-7 56.25%),1 (0.06)
3,"Jones, Zak",25y 179d,104 (57-0-47 54.81%),28 (0.27),14 (8-0-6 57.14%),5 (0.36)
25,"Kent, Dean",26y 199d,88 (32-0-56 36.36%),84 (0.95),25 (12-0-13 48.00%),21 (0.84)
12,"King, Max",20y 65d,15 (8-0-7 53.33%),19 (1.27),←,
21,"Long, Ben",23y 20d,43 (15-1-27 36.05%),21 (0.49),←,
13,"Lonie, Jack",24y 28d,73 (29-0-44 39.73%),66 (0.90),←,
19,"Marshall, Rowan",24y 291d,49 (18-0-31 36.73%),26 (0.53),←,
28,"Membrey, Tim",26y 107d,107 (47-2-58 44.86%),186 (1.74),106 (46-2-58 44.34%),186 (1.75)
33,"Paton, Ben",21y 327d,32 (14-0-18 43.75%),4 (0.13),←,
6,"Ross, Sebastian",27y 126d,137 (50-2-85 37.23%),23 (0.17),←,
18,"Ryder, Paddy",32y 180d,255 (128-4-123 50.98%),178 (0.70),12 (7-0-5 58.33%),7 (0.58)
35,"Sinclair, Jack",25y 211d,95 (37-1-57 39.47%),40 (0.42),←,
9,"Steele, Jack",24y 272d,94 (38-1-55 40.96%),33 (0.35),77 (30-1-46 39.61%),24 (0.31)
44,"Wilkie, Callum",24y 184d,38 (18-0-20 47.37%),,←,
Totals,Totals,25y 10d,1877 (867-16-994 46.19%),1045 (0.56),,
C,"Ratten, Brett",49y 61d,142 (72-1-69 51.06%),,22 (12-0-10 54.55%),
