Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",27y 106d,211 (127-2-82 60.66%),280 (1.33),19 (3-0-16 15.79%),18 (0.95)
55,"Ablett, Nathan",25y 258d,34 (22-1-11 66.18%),47 (1.38),2 (0-0-2 0.00%),1 (0.50)
37,"Bennell, Harley",18y 330d,13 (2-0-11 15.38%),12 (0.92),←,
44,"Bock, Nathan",28y 161d,133 (63-0-70 47.37%),58 (0.44),20 (3-0-17 15.00%),1 (0.05)
3,"Brennan, Jared",27y 31d,140 (58-3-79 42.50%),85 (0.61),21 (3-0-18 14.29%),10 (0.48)
42,"Caddy, Josh",18y 334d,1 (0-0-1 0.00%),,←,
5,"Harbrow, Jarrod",23y 41d,91 (43-1-47 47.80%),23 (0.25),21 (3-0-18 14.29%),2 (0.10)
40,"Hickey, Tom",20y 175d,2 (0-0-2 0.00%),1 (0.50),←,
7,"Hunt, Karmichael",24y 284d,15 (2-0-13 13.33%),1 (0.07),←,
36,"Iles, Sam",24y 70d,23 (7-0-16 30.43%),8 (0.35),16 (3-0-13 18.75%),8 (0.50)
32,"Matera, Brandon",19y 170d,11 (2-0-9 18.18%),12 (1.09),←,
18,"McKenzie, Trent",19y 147d,20 (3-0-17 15.00%),13 (0.65),←,
41,"Prestia, Dion",18y 320d,16 (1-0-15 6.25%),1 (0.06),←,
35,"Rischitelli, Michael",25y 232d,131 (52-3-76 40.84%),57 (0.44),20 (3-0-17 15.00%),10 (0.50)
8,"Russell, Luke",19y 216d,10 (1-0-9 10.00%),5 (0.50),←,
26,"Shaw, Matt",19y 204d,14 (2-0-12 14.29%),7 (0.50),←,
2,"Smith, Zac",21y 187d,19 (3-0-16 15.79%),13 (0.68),←,
25,"Stanley, Danny",23y 191d,26 (4-0-22 15.38%),19 (0.73),21 (3-0-18 14.29%),19 (0.90)
24,"Swallow, David",18y 282d,20 (3-0-17 15.00%),11 (0.55),←,
48,"Tape, Seb",19y 22d,13 (1-0-12 7.69%),,←,
16,"Thompson, Rory",20y 169d,7 (1-0-6 14.29%),2 (0.29),←,
4,"Weller, Maverick",19y 196d,14 (1-0-13 7.14%),2 (0.14),←,
Totals,Totals,22y 5d,964 (398-10-556 41.29%),657 (0.68),,
C,"McKenna, Guy",42y 109d,21 (3-0-18 14.29%),,←,
