Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 310d,79 (17-1-61 22.15%),52 (0.66),←,
30,"Bourke, Damian",28y 194d,108 (59-1-48 55.09%),18 (0.17),6 (1-0-5 16.67%),3 (0.50)
11,"Buckley, Nathan",21y 6d,17 (4-0-13 23.53%),18 (1.06),←,
1,"Champion, Richard",25y 109d,54 (10-1-43 19.44%),25 (0.46),←,
5,"Chapman, Nathan",18y 86d,17 (4-0-13 23.53%),6 (0.35),←,
12,"Clarke, Troy",24y 54d,45 (8-1-36 18.89%),17 (0.38),←,
6,"Fletcher, Adrian",23y 295d,62 (29-0-33 46.77%),31 (0.50),17 (4-0-13 23.53%),11 (0.65)
4,"Gastev, John",28y 355d,127 (38-1-88 30.31%),69 (0.54),97 (21-1-75 22.16%),38 (0.39)
32,"Hart, Shaun",22y 76d,45 (9-1-35 21.11%),10 (0.22),←,
41,"Kennedy, Matthew",23y 178d,54 (10-0-44 18.52%),13 (0.24),←,
31,"McCormack, Brendan",23y 34d,53 (18-0-35 33.96%),35 (0.66),9 (3-0-6 33.33%),8 (0.89)
7,"McIvor, Scott",26y 357d,142 (50-0-92 35.21%),62 (0.44),87 (24-0-63 27.59%),47 (0.54)
19,"McLean, Michael",28y 151d,136 (54-2-80 40.44%),37 (0.27),41 (7-0-34 17.07%),14 (0.34)
40,"McLuckie, Steven",20y 170d,19 (5-1-13 28.95%),8 (0.42),←,
24,"Merrett, Roger",33y 104d,258 (123-3-132 48.26%),319 (1.24),109 (26-1-82 24.31%),171 (1.57)
26,"Noonan, Danny",24y 245d,53 (10-1-42 19.81%),19 (0.36),←,
15,"Spargo, Paul",26y 296d,89 (40-2-47 46.07%),118 (1.33),8 (3-0-5 37.50%),9 (1.13)
33,"White, Darryl",20y 50d,28 (6-1-21 23.21%),28 (1.00),←,
28,"Windsor, Ray",20y 355d,23 (3-1-19 15.22%),22 (0.96),←,
18,"Worsfold, Peter",23y 21d,29 (3-1-25 12.07%),23 (0.79),←,
Totals,Totals,24y 99d,1438 (500-18-920 34.77%),930 (0.65),,
C,"Walls, Robert",43y 11d,260 (126-2-132 48.85%),,61 (11-1-49 18.85%),
