Notes,Previous,Current
Gold Coast's highest score,"104 v Port Adelaide - R5,2011","164 v Geelong - R11,2024"
Gold Coast's biggest win,"3 v Port Adelaide - R5,2011","95 v Essendon - R1,2025"
