Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",11,3,9,20,,,,1.0,2.0,3.0,2.0,3.0,4.0,,,9.0,11.0,,,1.0,,,74.0
35,"Birchall, Grant",6,1,5,11,,,,1.0,1.0,2.0,,,,,,2.0,9.0,,,,,1.0,51.0
39,"Campbell, Robert",4,2,5,9,1,,15.0,4.0,,1.0,3.0,1.0,,,,5.0,4.0,1.0,1.0,3.0,,,82.0
25,"Clarke, Tim",9,6,10,19,,,,1.0,,3.0,1.0,3.0,1.0,,,5.0,14.0,,1.0,1.0,,1.0,80.0
9,"Crawford, Shane",11,7,13,24,,,,2.0,1.0,2.0,2.0,2.0,,,,6.0,17.0,,1.0,1.0,,,87.0
24,"Croad, Trent",8,6,3,11,2,2.0,,,,3.0,,1.0,1.0,1.0,,4.0,7.0,1.0,4.0,3.0,,,100.0
26,"Dawson, Zac",1,1,5,6,,,,,1.0,,,,,,,4.0,2.0,,,4.0,,,72.0
19,"Dixon, Ben",11,8,2,13,4,2.0,,1.0,,2.0,1.0,4.0,,1.0,,6.0,6.0,4.0,4.0,,1.0,,90.0
1,"Everitt, Peter",7,4,2,9,,,20.0,,1.0,2.0,2.0,3.0,1.0,2.0,,2.0,7.0,,,4.0,,1.0,69.0
18,"Guerra, Brent",12,5,2,14,,,,2.0,5.0,2.0,,2.0,,2.0,,3.0,11.0,,,1.0,,,75.0
15,"Hodge, Luke",15,2,13,28,1,1.0,1.0,3.0,2.0,6.0,11.0,5.0,2.0,1.0,,15.0,13.0,,,3.0,1.0,,87.0
8,"Jacobs, Danny",6,5,8,14,,,,1.0,4.0,1.0,1.0,1.0,,,,5.0,9.0,2.0,,6.0,,1.0,100.0
4,"Ladson, Rick",4,1,10,14,,,,3.0,2.0,,,2.0,,,,4.0,11.0,,,4.0,,,78.0
3,"Lewis, Jordan",9,4,11,20,2,,,,1.0,2.0,7.0,1.0,1.0,1.0,,12.0,8.0,1.0,2.0,,,,62.0
5,"Mitchell, Sam",10,3,14,24,,1.0,,5.0,4.0,3.0,7.0,3.0,1.0,3.0,,10.0,15.0,,,2.0,5.0,,87.0
7,"Osborne, Michael",7,2,4,11,,2.0,,1.0,1.0,3.0,1.0,4.0,,,,3.0,8.0,,,3.0,,,71.0
2,"Roughead, Jarryd",5,4,5,10,,,,,,,,4.0,,3.0,,4.0,6.0,,1.0,,,,88.0
12,"Sewell, Brad",7,1,6,13,,,,,4.0,1.0,1.0,,,,,6.0,5.0,,,1.0,,,96.0
11,"Smith, Joel",6,4,6,12,,,,,1.0,3.0,,1.0,,1.0,,2.0,8.0,,,4.0,3.0,,100.0
21,"Vandenberg, Richard",12,4,5,17,,,,3.0,,5.0,1.0,2.0,,1.0,,4.0,12.0,,,2.0,,,77.0
6,"Williams, Mark",2,1,,2,2,,,1.0,,,,1.0,2.0,1.0,,2.0,1.0,,1.0,,,1.0,100.0
45,"Young, Clinton",15,11,2,17,,,,2.0,3.0,7.0,,2.0,,1.0,,1.0,16.0,,,2.0,3.0,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,178,85,140,318,12,12.0,36.0,31.0,33.0,51.0,40.0,45.0,13.0,18.0,,114.0,200.0,9.0,15.0,45.0,13.0,5.0,
Opposition,Opposition,247,137,138,385,18,11.0,25.0,52.0,39.0,53.0,30.0,43.0,18.0,13.0,6.0,125.0,264.0,11.0,19.0,54.0,22.0,11.0,
