St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",23y 309d,54 (28-1-25 52.78%),32 (0.59),←,
27,"Blake, Jason",31y 36d,203 (113-5-85 56.90%),35 (0.17),←,
35,"Cripps, Jamie",19y 363d,8 (3-0-5 37.50%),9 (1.13),←,
26,"Dal Santo, Nick",28y 58d,220 (130-5-85 60.23%),122 (0.55),←,
24,"Dempster, Sean",28y 91d,123 (74-3-46 61.38%),17 (0.14),69 (39-3-27 58.70%),9 (0.13)
25,"Fisher, Sam",29y 285d,171 (107-4-60 63.74%),20 (0.12),←,
14,"Geary, Jarryn",23y 302d,56 (40-0-16 71.43%),12 (0.21),←,
19,"Gilbert, Sam",25y 245d,114 (72-4-38 64.91%),21 (0.18),←,
18,"Goddard, Brendon",26y 336d,189 (118-3-68 63.23%),95 (0.50),←,
7,"Hayes, Lenny",32y 97d,245 (124-6-115 51.84%),82 (0.33),←,
4,"Jones, Clinton",28y 78d,101 (68-4-29 69.31%),29 (0.29),←,
23,"Koschitzke, Justin",29y 213d,180 (102-3-75 57.50%),225 (1.25),←,
5,"McEvoy, Ben",22y 284d,57 (39-2-16 70.18%),17 (0.30),←,
32,"Milera, Terry",24y 103d,4 (2-0-2 50.00%),3 (0.75),←,
44,"Milne, Stephen",32y 43d,240 (131-5-104 55.63%),498 (2.08),←,
11,"Montagna, Leigh",28y 170d,173 (108-4-61 63.58%),102 (0.59),←,
16,"Newnes, Jack",19y 56d,3 (2-0-1 66.67%),,←,
34,"Polo, Dean",25y 259d,74 (29-2-43 40.54%),18 (0.24),18 (11-0-7 61.11%),7 (0.39)
12,"Riewoldt, Nick",29y 186d,223 (123-5-95 56.28%),482 (2.16),←,
31,"Simpkin, Tom",21y 257d,5 (3-0-2 60.00%),,←,
28,"Stanley, Rhys",21y 141d,13 (10-0-3 76.92%),10 (0.77),←,
3,"Steven, Jack",22y 23d,34 (19-1-14 57.35%),26 (0.76),←,
Totals,Totals,26y 46d,2490 (1445-57-988 58.03%),1855 (0.74),,
C,"Watters, Scott",43y 86d,4 (2-0-2 50.00%),,←,
