West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Brennan, Jacob",10,6,5,15,,,,3.0,,,,3.0,,,,5.0,10.0,,,3.0,,,93.0
26,"Butler, Sam",8,3,5,13,,,,4.0,,1.0,,1.0,,,,5.0,8.0,,,1.0,1.0,,88.0
20,"Cox, Dean",8,3,3,11,,,29.0,2.0,,4.0,2.0,1.0,2.0,1.0,,6.0,5.0,2.0,,2.0,,,79.0
15 ↓,"Cripps, Jamie",4,4,4,8,,1.0,,4.0,2.0,,,2.0,,1.0,,1.0,7.0,,2.0,,3.0,,57.0
18 ↑,"Dalziell, Bradd",3,2,2,5,,1.0,,3.0,,,,1.0,,,,4.0,1.0,1.0,1.0,,,,28.0
27,"Darling, Jack",10,9,6,16,1,2.0,,1.0,,4.0,,1.0,,,,7.0,9.0,1.0,2.0,,,1.0,90.0
3,"Gaff, Andrew",8,1,6,14,1,1.0,,,,3.0,2.0,1.0,1.0,,,8.0,6.0,,,1.0,,,91.0
23,"Glass, Darren",9,4,3,12,,,,1.0,2.0,,,2.0,,1.0,,3.0,7.0,,,3.0,,,81.0
43,"Hams, Ashton",4,2,2,6,1,1.0,,2.0,,3.0,,1.0,,1.0,,1.0,5.0,,1.0,1.0,,1.0,76.0
33,"Hill, Josh",7,1,1,8,,,,2.0,,,1.0,2.0,2.0,1.0,,5.0,4.0,,,4.0,,2.0,86.0
25,"Hurn, Shannon",10,3,4,14,,1.0,,2.0,1.0,3.0,2.0,2.0,1.0,1.0,,8.0,4.0,2.0,,4.0,,,93.0
17,"Kennedy, Josh",7,6,5,12,,2.0,1.0,6.0,,1.0,,3.0,,1.0,,6.0,6.0,,3.0,,,2.0,87.0
4,"Kerr, Daniel",8,1,13,21,1,,,3.0,,2.0,5.0,2.0,1.0,1.0,,12.0,9.0,,,,,,77.0
2,"LeCras, Mark",16,5,7,23,2,1.0,,4.0,2.0,6.0,4.0,1.0,,1.0,,11.0,14.0,,1.0,1.0,,,82.0
16,"Mackenzie, Eric",4,1,3,7,,,,7.0,1.0,1.0,,4.0,1.0,4.0,,4.0,2.0,,,10.0,,,98.0
7,"Masten, Chris",16,6,14,30,,,,3.0,2.0,6.0,1.0,1.0,3.0,,,11.0,18.0,,,,,,82.0
11,"Priddis, Matt",10,1,15,25,,,,7.0,2.0,2.0,7.0,2.0,1.0,1.0,,14.0,10.0,,,3.0,,,87.0
31,"Schofield, Will",12,5,2,14,,,1.0,1.0,5.0,2.0,,2.0,,,,2.0,10.0,,,5.0,6.0,,92.0
37,"Selwood, Adam",5,1,3,8,,,,,,2.0,,2.0,,1.0,,2.0,5.0,1.0,,3.0,,,88.0
10,"Selwood, Scott",17,4,15,32,,1.0,,8.0,2.0,3.0,7.0,4.0,4.0,1.0,2.0,16.0,16.0,,,,,,88.0
13,"Shuey, Luke",15,3,9,24,1,2.0,,5.0,2.0,6.0,1.0,,1.0,,,7.0,16.0,,1.0,,3.0,,83.0
22,"Sinclair, Callum",7,2,7,14,,2.0,6.0,,,2.0,3.0,1.0,5.0,1.0,,9.0,5.0,,,1.0,,,75.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,8.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,73,134,332,7,23.0,37.0,68.0,21.0,51.0,35.0,39.0,22.0,17.0,2.0,147.0,177.0,7.0,11.0,42.0,13.0,6.0,
Opposition,Opposition,203,69,173,376,12,17.0,32.0,63.0,39.0,43.0,34.0,47.0,18.0,21.0,4.0,162.0,210.0,14.0,8.0,51.0,34.0,6.0,
