Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Akermanis, Jason",,,1,1,,,,,,,,,,,,,,,,,,,
10,"Ashcroft, Marcus",7,,7,14,1,1.0,,2.0,,,,,2.0,,,,,,,,,,
36,"Bartlett, Trent",2,,,2,,,,,,,,,,1.0,,,,,,,,,
25,"Bews, Andrew",8,4,3,11,,,,3.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",9,4,5,14,,,,,,,,,2.0,1.0,,,,,,,,,
5,"Chapman, Nathan",10,,2,12,1,,,2.0,,,,,2.0,,,,,,,,,,
16,"Clarke, Matthew",3,2,7,10,,,9.0,,,,,,3.0,3.0,,,,,,,,,
6,"Fletcher, Adrian",14,6,10,24,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
32,"Hart, Shaun",12,6,7,19,2,1.0,,1.0,,,,,,1.0,,,,,,,,,
41,"Kennedy, Matthew",1,,,1,,,,,,,,,,,,,,,,,,,
18,"Lambert, Craig",10,2,13,23,,1.0,,8.0,,,,,,1.0,,,,,,,,,
44,"Lappin, Nigel",19,3,3,22,2,2.0,,1.0,,,,,2.0,,,,,,,,,,
2,"McAdam, Gilbert",4,1,5,9,,1.0,,,,,,,,3.0,,,,,,,,,
7,"McIvor, Scott",13,4,6,19,,,,1.0,,,,,1.0,1.0,,,,,,,,,
19,"McLean, Michael",8,,5,13,,,1.0,2.0,,,,,1.0,3.0,,,,,,,,,
4,"McRae, Craig",8,2,7,15,,,,1.0,,,,,,2.0,,,,,,,,,
24,"Merrett, Roger",5,3,3,8,1,1.0,1.0,1.0,,,,,3.0,1.0,,,,,,,,,
22,"Scott, Chris",6,4,6,12,,,,3.0,,,,,1.0,1.0,,,,,,,,,
38,"Scott, Dion",7,3,1,8,,,1.0,,,,,,1.0,1.0,,,,,,,,,
3,"Voss, Michael",12,6,15,27,1,1.0,,3.0,,,,,1.0,1.0,1.0,,,,,,,,
33,"White, Darryl",5,5,4,9,1,2.0,,3.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,163,55,110,273,10,11.0,12.0,32.0,,,,,21.0,22.0,1.0,,,,,,,,
Opposition,Opposition,181,71,139,320,11,19.0,15.0,20.0,,,,,22.0,21.0,5.0,,,,,,,,
