Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
24,"Adams, Marcus",29y 38d,73 (46-0-27 63.01%),5 (0.07),46 (32-0-14 69.57%),1 (0.02)
4,"Ah Chee, Callum",24y 302d,102 (51-0-51 50.00%),39 (0.38),57 (43-0-14 75.44%),15 (0.26)
31,"Andrews, Harris",25y 239d,155 (67-0-88 43.23%),10 (0.06),←,
43,"Answerth, Noah",23y 1d,47 (34-0-13 72.34%),2 (0.04),←,
33,"Bailey, Zac",22y 318d,89 (57-0-32 64.04%),88 (0.99),←,
7,"Berry, Jarrod",24y 183d,103 (54-0-49 52.43%),47 (0.46),←,
23,"Cameron, Charlie",28y 33d,171 (108-1-62 63.45%),293 (1.71),98 (61-0-37 62.24%),206 (2.10)
18,"Coleman, Keidean",22y 129d,36 (24-0-12 66.67%),12 (0.33),←,
3,"Daniher, Joe",28y 156d,147 (66-1-80 45.24%),269 (1.83),39 (26-0-13 66.67%),78 (2.00)
27,"Gardiner, Darcy",26y 319d,149 (69-0-80 46.31%),5 (0.03),←,
30,"Hipwood, Eric",24y 328d,122 (60-0-62 49.18%),177 (1.45),←,
17,"Lyons, Jarryd",30y 16d,179 (104-0-75 58.10%),84 (0.47),87 (60-0-27 68.97%),35 (0.40)
36,"Mathieson, Rhys",25y 209d,67 (31-0-36 46.27%),29 (0.43),←,
11,"McCarthy, Lincoln",28y 289d,114 (81-0-33 71.05%),127 (1.11),85 (58-0-27 68.24%),102 (1.20)
6,"McCluggage, Hugh",24y 157d,125 (67-0-58 53.60%),79 (0.63),←,
46,"McInerney, Oscar",28y 28d,97 (60-0-37 61.86%),45 (0.46),←,
25,"McStay, Daniel",27y 44d,156 (75-0-81 48.08%),133 (0.85),←,
9,"Neale, Lachie",29y 75d,215 (118-0-97 54.88%),112 (0.52),80 (53-0-27 66.25%),45 (0.56)
16,"Rayner, Cam",22y 290d,83 (48-0-35 57.83%),76 (0.92),←,
10,"Rich, Daniel",32y 61d,263 (113-1-149 43.16%),114 (0.43),←,
5,"Robinson, Mitch",33y 61d,245 (116-1-128 47.55%),128 (0.52),145 (65-0-80 44.83%),70 (0.48)
37,"Starcevich, Brandon",23y 14d,66 (45-0-21 68.18%),5 (0.08),←,
15,"Zorko, Dayne",33y 179d,225 (98-0-127 43.56%),216 (0.96),←,
Totals,Totals,26y 326d,3029 (1592-4-1433 52.56%),2095 (0.69),,
C,"Fagan, Chris",61y 45d,131 (70-0-61 53.44%),,←,
