Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
22,"Blakey, Nick",21y 70d,44 (17-0-27 38.64%),28 (0.64),←,
7,"Cunningham, Harry",27y 153d,138 (81-0-57 58.70%),48 (0.35),←,
34,"Dawson, Jordan",24y 29d,49 (20-0-29 40.82%),25 (0.51),←,
13,"Florent, Oliver",22y 290d,78 (36-0-42 46.15%),27 (0.35),←,
42,"Fox, Robbie",28y 22d,39 (12-0-27 30.77%),8 (0.21),←,
23,"Franklin, Lance",34y 98d,304 (191-1-112 62.99%),955 (3.14),122 (82-0-40 67.21%),375 (3.07)
21,"Gulden, Errol",18y 294d,8 (5-0-3 62.50%),5 (0.63),←,
9,"Hayward, Will",22y 194d,74 (35-0-39 47.30%),78 (1.05),←,
31,"Hickey, Tom",30y 63d,109 (40-2-67 37.61%),38 (0.35),7 (5-0-2 71.43%),6 (0.86)
12,"Kennedy, Josh",32y 322d,266 (160-2-104 60.53%),151 (0.57),253 (155-2-96 61.66%),147 (0.58)
44,"Lloyd, Jake",27y 230d,162 (98-0-64 60.49%),31 (0.19),←,
30,"McCartin, Tom",21y 129d,55 (26-0-29 47.27%),28 (0.51),←,
27,"McInerney, Justin",20y 263d,17 (6-0-11 35.29%),10 (0.59),←,
41,"McLean, Hayden",22y 108d,15 (5-0-10 33.33%),12 (0.80),←,
14,"Mills, Callum",24y 36d,100 (53-0-47 53.00%),7 (0.07),←,
38,"ORiordan, Colin",25y 208d,25 (10-0-15 40.00%),1 (0.04),←,
11,"Papley, Tom",24y 299d,107 (60-0-47 56.07%),159 (1.49),←,
26,"Parker, Luke",28y 195d,220 (134-1-85 61.14%),166 (0.75),←,
24,"Rampe, Dane",30y 340d,175 (111-1-63 63.71%),6 (0.03),←,
8,"Rowbottom, James",20y 231d,32 (11-0-21 34.38%),10 (0.31),←,
18,"Sinclair, Callum",31y 227d,117 (71-1-45 61.11%),63 (0.54),88 (49-0-39 55.68%),45 (0.51)
1,"Warner, Chad",19y 354d,10 (5-0-5 50.00%),6 (0.60),←,
45,"Wicks, Sam",21y 236d,15 (7-0-8 46.67%),10 (0.67),←,
Totals,Totals,25y 112d,2159 (1194-8-957 55.30%),1872 (0.87),,
C,"Longmire, John",50y 128d,243 (149-2-92 61.73%),,←,
