Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
43,"Barlow, Ed",24y 184d,31 (12-2-17 41.94%),22 (0.71),5 (3-0-2 60.00%),4 (0.80)
5,"Boyd, Matthew",28y 337d,181 (91-2-88 50.83%),62 (0.34),←,
4,"Cross, Daniel",28y 122d,176 (87-3-86 50.28%),27 (0.15),←,
40,"Dahlhaus, Luke",18y 343d,8 (4-0-4 50.00%),8 (1.00),←,
13,"Giansiracusa, Daniel",29y 141d,209 (98-4-107 47.85%),245 (1.17),←,
16,"Griffen, Ryan",25y 3d,139 (77-1-61 55.76%),94 (0.68),←,
28,"Hall, Barry",34y 172d,285 (145-3-137 51.40%),725 (2.54),35 (19-0-16 54.29%),114 (3.26)
25,"Hargrave, Ryan",30y 4d,190 (92-4-94 49.47%),36 (0.19),←,
41,"Hooper, Andrew",20y 193d,6 (3-0-3 50.00%),6 (1.00),←,
15,"Hudson, Ben",32y 156d,141 (85-1-55 60.64%),15 (0.11),86 (53-1-32 62.21%),9 (0.10)
19,"Jones, Liam",20y 156d,21 (9-0-12 42.86%),20 (0.95),←,
21,"Liberatore, Tom",19y 75d,12 (4-0-8 33.33%),4 (0.33),←,
31,"Mulligan, James",22y 46d,3 (0-0-3 0.00%),,←,
2,"Murphy, Robert",29y 51d,205 (93-4-108 46.34%),152 (0.74),←,
42,"Picken, Liam",24y 363d,61 (34-0-27 55.74%),20 (0.33),←,
23,"Roughead, Jordan",20y 269d,13 (8-0-5 61.54%),5 (0.38),←,
24,"Schofield, Jayden",19y 77d,3 (2-0-1 66.67%),,←,
10,"Sherman, Justin",24y 185d,128 (53-3-72 42.58%),102 (0.80),14 (5-0-9 35.71%),17 (1.21)
18,"Stack, Brennan",23y 65d,20 (11-0-9 55.00%),17 (0.85),←,
14,"Ward, Callan",21y 111d,56 (30-0-26 53.57%),29 (0.52),←,
12,"Williams, Tom",25y 13d,73 (38-1-34 52.74%),4 (0.05),←,
29,"Wood, Easton",21y 329d,25 (13-0-12 52.00%),4 (0.16),←,
Totals,Totals,24y 271d,1986 (989-28-969 49.80%),1597 (0.80),,
C,"Eade, Rodney",53y 117d,313 (169-4-140 54.63%),,161 (88-2-71 55.28%),
