Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
30,"Adams, Taylor",18y 249d,5 (1-0-4 20.00%),1 (0.20),←,
14,"Bugg, Tomas",19y 51d,8 (1-0-7 12.50%),1 (0.13),←,
18,"Cameron, Jeremy",19y 55d,7 (1-0-6 14.29%),13 (1.86),←,
3,"Coniglio, Stephen",18y 163d,8 (1-0-7 12.50%),1 (0.13),←,
11,"Cornes, Chad",32y 196d,246 (134-1-111 54.67%),175 (0.71),7 (1-0-6 14.29%),
13,"Darley, Sam",19y 101d,2 (0-0-2 0.00%),,←,
1,"Davis, Phil",21y 270d,27 (12-0-15 44.44%),4 (0.15),9 (1-0-8 11.11%),3 (0.33)
26,"Giles, Jonathan",24y 139d,9 (1-0-8 11.11%),11 (1.22),←,
2,"Hampton, Curtly",19y 77d,7 (0-0-7 0.00%),5 (0.71),←,
40,"Kennedy, Adam",19y 319d,7 (1-0-6 14.29%),,←,
38,"McDonald, James",35y 234d,256 (103-1-152 40.43%),58 (0.23),5 (0-0-5 0.00%),2 (0.40)
39,"Mohr, Tim",23y 220d,8 (1-0-7 12.50%),1 (0.13),←,
27,"Phillips, Andrew",20y 328d,3 (1-0-2 33.33%),1 (0.33),←,
6,"Power, Luke",32y 139d,290 (153-3-134 53.28%),226 (0.78),8 (1-0-7 12.50%),
23,"Reid, Sam",22y 201d,14 (6-0-8 42.86%),1 (0.07),4 (0-0-4 0.00%),
9,"Scully, Tom",21y 11d,39 (14-1-24 37.18%),8 (0.21),8 (1-0-7 12.50%),2 (0.25)
5,"Shiel, Dylan",19y 78d,8 (1-0-7 12.50%),2 (0.25),←,
34,"Smith, Devon",19y 6d,8 (1-0-7 12.50%),3 (0.38),←,
31,"Townsend, Jacob",18y 341d,7 (1-0-6 14.29%),2 (0.29),←,
17,"Treloar, Adam",19y 78d,6 (1-0-5 16.67%),3 (0.50),←,
29,"Tyson, Dom",18y 353d,6 (1-0-5 16.67%),2 (0.33),←,
8,"Ward, Callan",22y 46d,69 (33-0-36 47.83%),37 (0.54),9 (1-0-8 11.11%),4 (0.44)
Totals,Totals,22y 33d,1040 (468-6-566 45.00%),555 (0.53),,
C,"Sheedy, Kevin",64y 154d,643 (387-6-250 60.65%),,9 (1-0-8 11.11%),
