North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Campbell, Matt",21y 173d,28 (15-1-12 55.36%),34 (1.21),←,
11,"Firrito, Michael",24y 228d,97 (50-1-46 52.06%),13 (0.13),←,
38,"Gibson, Josh",24y 121d,35 (17-0-18 48.57%),,←,
22,"Goldstein, Todd",20y 11d,1 (1-0-0 100.00%),,←,
17,"Grima, Blake",24y 34d,13 (10-0-3 76.92%),3 (0.23),←,
31,"Hale, David",24y 51d,93 (41-1-51 44.62%),57 (0.61),←,
26,"Hansen, Lachlan",19y 330d,6 (3-0-3 50.00%),,←,
39,"Harding, Leigh",27y 77d,103 (50-2-51 49.51%),130 (1.26),←,
4,"Harris, Daniel",26y 63d,131 (65-2-64 50.38%),40 (0.31),←,
29,"Harvey, Brent",30y 59d,256 (142-2-112 55.86%),296 (1.16),←,
42,"McMahon, Scott",22y 40d,21 (13-0-8 61.90%),16 (0.76),←,
20,"Petrie, Drew",25y 271d,146 (71-2-73 49.32%),123 (0.84),←,
5,"Power, Sam",25y 10d,98 (34-3-61 36.22%),17 (0.17),14 (6-1-7 46.43%),1 (0.07)
30,"Pratt, Daniel",25y 113d,76 (39-0-37 51.32%),6 (0.08),73 (38-0-35 52.05%),5 (0.07)
3,"Rawlings, Brady",27y 32d,173 (89-1-83 51.73%),56 (0.32),←,
15,"Ross, Ben",19y 295d,2 (2-0-0 100.00%),1 (0.50),←,
7,"Simpson, Adam",32y 147d,282 (163-2-117 58.16%),78 (0.28),←,
12,"Thomas, Lindsay",20y 135d,27 (13-1-13 50.00%),31 (1.15),←,
23,"Thompson, Nathan",30y 149d,177 (82-2-93 46.89%),324 (1.83),58 (27-1-30 47.41%),132 (2.28)
14,"Urquhart, Gavin",20y 55d,6 (2-0-4 33.33%),,←,
36,"Watt, Shannon",27y 229d,144 (74-2-68 52.08%),9 (0.06),←,
8,"Wells, Daniel",23y 160d,115 (57-2-56 50.43%),65 (0.57),←,
Totals,Totals,24y 226d,2030 (1033-24-973 50.89%),1299 (0.64),,
C,"Laidley, Dani",41y 107d,129 (63-2-64 49.61%),,←,
