St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
8,"Acres, Blake",21y 218d,33 (16-0-17 48.48%),14 (0.42),←,
15,"Billings, Jack",21y 268d,50 (19-0-31 38.00%),36 (0.72),←,
22,"Brown, Nathan",28y 147d,138 (81-1-56 59.06%),7 (0.05),8 (5-0-3 62.50%),
27,"Bruce, Josh",24y 339d,76 (26-1-49 34.87%),108 (1.42),62 (25-1-36 41.13%),105 (1.69)
2,"Carlisle, Jake",25y 224d,93 (45-0-48 48.39%),55 (0.59),8 (5-0-3 62.50%),1 (0.13)
7,"Dunstan, Luke",22y 104d,59 (23-1-35 39.83%),30 (0.51),←,
14,"Geary, Jarryn",28y 324d,149 (80-1-68 54.03%),25 (0.17),←,
19,"Gilbert, Sam",30y 267d,187 (106-5-76 58.02%),36 (0.19),←,
4,"Gresham, Jade",19y 262d,26 (15-0-11 57.69%),22 (0.85),←,
18,"Longer, Billy",24y 1d,47 (12-0-35 25.53%),2 (0.04),38 (10-0-28 26.32%),2 (0.05)
28,"Membrey, Tim",22y 352d,38 (20-1-17 53.95%),65 (1.71),37 (19-1-17 52.70%),65 (1.76)
41,"Minchington, Darren",23y 155d,27 (11-1-15 42.59%),22 (0.81),←,
11,"Montagna, Leigh",33y 192d,278 (148-5-125 54.14%),153 (0.55),←,
16,"Newnes, Jack",24y 78d,99 (36-1-62 36.87%),27 (0.27),←,
12,"Riewoldt, Nick",34y 208d,326 (162-6-158 50.61%),703 (2.16),←,
17,"Roberton, Dylan",25y 326d,110 (50-0-60 45.45%),17 (0.15),73 (28-0-45 38.36%),12 (0.16)
6,"Ross, Sebastian",24y 6d,67 (25-1-41 38.06%),11 (0.16),←,
35,"Sinclair, Jack",22y 90d,30 (13-0-17 43.33%),22 (0.73),←,
9,"Steele, Jack",21y 151d,25 (13-0-12 52.00%),11 (0.44),8 (5-0-3 62.50%),2 (0.25)
3,"Steven, Jack",27y 46d,140 (55-2-83 40.00%),91 (0.65),←,
29,"Webster, Jimmy",23y 319d,58 (19-1-38 33.62%),2 (0.03),←,
44,"Weller, Maverick",25y 89d,97 (29-1-67 30.41%),49 (0.51),65 (23-1-41 36.15%),46 (0.71)
Totals,Totals,25y 106d,2153 (1004-28-1121 46.63%),1508 (0.70),,
C,"Richardson, Alan",51y 361d,75 (27-1-47 36.67%),,74 (27-1-46 37.16%),
