Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
29,"Beaumont, Simon",26y 148d,115 (66-0-49 57.39%),73 (0.63),←,
21,"Bradley, Craig",38y 199d,363 (219-2-142 60.61%),243 (0.67),←,
39,"Christou, Ang",30y 114d,141 (96-1-44 68.44%),20 (0.14),←,
13,"Davies, Justin",18y 307d,1 (0-0-1 0.00%),1 (1.00),←,
20,"Eccles, Andrew",22y 343d,43 (22-0-21 51.16%),22 (0.51),2 (0-0-2 0.00%),
31,"Fletcher, Simon",23y 266d,58 (35-0-23 60.34%),26 (0.45),←,
45,"Franchina, Anthony",24y 211d,78 (44-0-34 56.41%),23 (0.29),←,
17,"Freeborn, Scott",23y 355d,46 (28-0-18 60.87%),17 (0.37),←,
14,"Gallagher, David",21y 278d,31 (11-0-20 35.48%),3 (0.10),5 (0-0-5 0.00%),1 (0.20)
37,"Hotton, Trent",28y 160d,67 (35-0-32 52.24%),46 (0.69),50 (31-0-19 62.00%),32 (0.64)
33,"Houlihan, Ryan",20y 109d,43 (23-0-20 53.49%),43 (1.00),←,
12,"Lappin, Matthew",26y 82d,134 (72-1-61 54.10%),154 (1.15),79 (44-0-35 55.70%),128 (1.62)
10,"Mansfield, Michael",30y 275d,226 (130-1-95 57.74%),113 (0.50),45 (27-0-18 60.00%),13 (0.29)
22,"Manton, Glenn",28y 343d,168 (99-0-69 58.93%),34 (0.20),147 (88-0-59 59.86%),30 (0.20)
5,"McKay, Andrew",31y 300d,210 (126-1-83 60.24%),28 (0.13),←,
2,"McKernan, Corey",28y 142d,189 (120-0-69 63.49%),238 (1.26),7 (1-0-6 14.29%),5 (0.71)
19,"Merrington, Andrew",23y 164d,10 (3-0-7 30.00%),7 (0.70),←,
18,"Murphy, Justin",26y 16d,116 (57-0-59 49.14%),99 (0.85),86 (42-0-44 48.84%),81 (0.94)
6,"Pickering, Adam",21y 22d,3 (1-0-2 33.33%),1 (0.33),←,
40,"Plunkett, Jim",23y 288d,32 (15-0-17 46.88%),8 (0.25),22 (10-0-12 45.45%),7 (0.32)
28,"Prendergast, Ian",21y 250d,14 (6-0-8 42.86%),4 (0.29),←,
8,"Whitnall, Lance",22y 260d,118 (64-0-54 54.24%),235 (1.99),←,
Totals,Totals,25y 244d,2206 (1272-6-928 57.66%),1438 (0.65),,
C,"Brittain, Wayne",43y 331d,31 (16-0-15 51.61%),,←,
