Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
22,"Aitken, Ian",23y 346d,53 (35-1-17 66.98%),8 (0.15),←,
31,"Alvin, Tom",29y 6d,138 (82-1-55 59.78%),50 (0.36),←,
17,"Arceri, Mark",26y 184d,72 (34-0-38 47.22%),103 (1.43),2 (1-0-1 50.00%),1 (0.50)
21,"Bradley, Craig",27y 186d,119 (74-1-44 62.61%),90 (0.76),←,
40,"Cavedon, Andrew",19y 173d,5 (3-0-2 60.00%),4 (0.80),←,
35,"Dean, Peter",26y 49d,111 (72-1-38 65.32%),15 (0.14),←,
3,"Dennis, Richard",24y 270d,53 (38-0-15 71.70%),36 (0.68),←,
9,"Edgar, Stephen",24y 85d,11 (5-0-6 45.45%),1 (0.09),←,
2,"Fotia, Dominic",21y 139d,10 (6-0-4 60.00%),2 (0.20),←,
13,"Hanna, Mil",25y 22d,70 (37-1-32 53.57%),34 (0.49),←,
28,"Kernahan, David",25y 290d,31 (16-0-15 51.61%),8 (0.26),←,
4,"Kernahan, Stephen",27y 238d,121 (75-1-45 62.40%),328 (2.71),←,
44,"Madden, Justin",29y 331d,209 (131-1-77 62.92%),142 (0.68),164 (101-1-62 61.89%),122 (0.74)
23,"Meldrum, Paul",30y 226d,144 (94-1-49 65.63%),134 (0.93),←,
27,"OSullivan, Luke",23y 30d,18 (8-0-10 44.44%),12 (0.67),←,
19,"Phillips, Andrew",21y 90d,27 (13-1-13 50.00%),21 (0.78),←,
7,"Ratten, Brett",19y 290d,6 (3-0-3 50.00%),2 (0.33),←,
36,"Rieniets, Tim",25y 13d,17 (10-0-7 58.82%),4 (0.24),←,
14,"Sexton, Michael",20y 53d,4 (2-0-2 50.00%),1 (0.25),←,
1,"Silvagni, Stephen",23y 331d,101 (65-0-36 64.36%),60 (0.59),←,
Totals,Totals,24y 277d,1320 (803-9-508 60.83%),1055 (0.80),,
C,"Parkin, David",48y 227d,288 (169-1-118 58.85%),,125 (82-1-42 66.00%),
