Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
14,"Breman, Todd",27y 165d,44 (15-0-29 34.09%),34 (0.77),21 (5-0-16 23.81%),19 (0.90)
21,"Bulluss, Paul",23y 78d,3 (1-0-2 33.33%),,←,
9,"Campbell, Wayne",20y 200d,36 (11-0-25 30.56%),28 (0.78),←,
30,"Free, Tony",23y 288d,92 (28-0-64 30.43%),27 (0.29),←,
25,"Gale, Brendon",24y 267d,62 (19-0-43 30.65%),45 (0.73),←,
11,"Hernaman, Wayne",20y 331d,3 (1-0-2 33.33%),2 (0.67),←,
34,"Hogg, Jeff",26y 178d,127 (38-0-89 29.92%),260 (2.05),←,
31,"Howat, John",22y 270d,23 (11-0-12 47.83%),10 (0.43),3 (1-0-2 33.33%),
33,"Knights, Matthew",22y 188d,92 (27-0-65 29.35%),68 (0.74),←,
4,"Lambert, Craig",24y 188d,106 (30-0-76 28.30%),50 (0.47),←,
26,"Leys, Brian",25y 63d,86 (28-0-58 32.56%),15 (0.17),←,
27,"Maxfield, Stuart",21y 2d,32 (7-0-25 21.88%),15 (0.47),←,
28,"McQueen, Mark",23y 92d,26 (7-0-19 26.92%),9 (0.35),←,
29,"Menegola, Todd",25y 107d,13 (3-0-10 23.08%),12 (0.92),←,
6,"Naish, Chris",21y 196d,49 (13-0-36 26.53%),71 (1.45),←,
24,"Schaefer, Robert",21y 56d,3 (1-0-2 33.33%),2 (0.67),←,
10,"Scott, Allister",21y 291d,18 (3-0-15 16.67%),10 (0.56),←,
41,"Turner, Scott",22y 315d,44 (12-0-32 27.27%),18 (0.41),←,
3,"Weightman, Dale",33y 190d,266 (117-2-147 44.36%),343 (1.29),←,
20,"Young, Barry",22y 289d,46 (17-0-29 36.96%),23 (0.50),←,
Totals,Totals,23y 279d,1171 (389-2-780 33.22%),1042 (0.89),,
C,"Northey, John",49y 286d,192 (97-1-94 50.78%),,3 (1-0-2 33.33%),
