Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Banfield, Bailey",11,,7,18,,,,9.0,2.0,2.0,6.0,2.0,1.0,1.0,,12.0,6.0,,,2.0,,,78.0
5,"Cerra, Adam",11,3,6,17,,,,8.0,1.0,2.0,3.0,4.0,2.0,1.0,,9.0,8.0,,,2.0,1.0,1.0,65.0
36,"Cox, Brennan",9,3,7,16,2,,,6.0,,3.0,,4.0,1.0,1.0,,6.0,8.0,,1.0,2.0,,,96.0
4,"Darcy, Sean",6,5,9,15,,2.0,33.0,5.0,,1.0,5.0,1.0,,1.0,,8.0,7.0,1.0,2.0,4.0,,,77.0
42,"Giro, Stefan",8,2,11,19,,,,6.0,,4.0,,1.0,1.0,,,6.0,12.0,,,,,1.0,84.0
21,"Hamling, Joel",7,5,4,11,,,,2.0,3.0,,1.0,,2.0,,,6.0,5.0,1.0,,14.0,,,98.0
9,"Hill, Bradley",18,6,3,21,,,,4.0,2.0,6.0,1.0,2.0,,,,3.0,19.0,,,,1.0,,84.0
32,"Hill, Stephen",10,6,7,17,,,,4.0,2.0,,,4.0,,1.0,,6.0,11.0,,,2.0,1.0,,88.0
15,"Hughes, Ethan",7,3,5,12,1,,,2.0,2.0,2.0,,1.0,,,,2.0,8.0,,,2.0,,,68.0
40,"Jones, Scott",5,2,4,9,1,,11.0,3.0,,2.0,,,2.0,,,8.0,3.0,1.0,1.0,5.0,,,90.0
26,"Langdon, Ed",13,4,15,28,,1.0,,4.0,2.0,4.0,1.0,4.0,2.0,1.0,,10.0,18.0,,,,,1.0,86.0
3,"Matera, Brandon",7,,9,16,,1.0,,2.0,,1.0,2.0,2.0,1.0,,,7.0,9.0,,,2.0,,,74.0
23,"McCarthy, Cam",2,,2,4,1,,,,,,,3.0,1.0,1.0,,1.0,3.0,,,,,,66.0
16,"Mundy, David",22,5,7,29,1,1.0,,5.0,,8.0,3.0,1.0,,,3.0,10.0,19.0,2.0,1.0,4.0,,,83.0
27,"Neale, Lachie",15,4,18,33,,,,1.0,3.0,7.0,9.0,4.0,1.0,2.0,2.0,18.0,15.0,,,,,1.0,80.0
43,"Nyhuis, Ryan",9,3,2,11,,,,1.0,,,,2.0,,2.0,,3.0,9.0,,,3.0,,,91.0
25,"Pearce, Alex",5,2,4,9,,,,1.0,2.0,1.0,1.0,2.0,,1.0,,2.0,5.0,,,3.0,,,87.0
38,"Ryan, Luke",20,7,8,28,,,,3.0,7.0,5.0,,1.0,2.0,,,9.0,16.0,2.0,,1.0,,,86.0
11,"Sheridan, Tom",9,3,3,12,,1.0,,2.0,1.0,1.0,3.0,,2.0,,,6.0,7.0,1.0,1.0,,,2.0,63.0
33,"Sutcliffe, Cam",8,2,3,11,1,2.0,,6.0,,3.0,,3.0,1.0,,,5.0,5.0,,1.0,1.0,,,90.0
10,"Walters, Michael",8,3,6,14,1,1.0,,3.0,,2.0,,3.0,2.0,1.0,,7.0,9.0,,1.0,1.0,,,81.0
14,"Wilson, Nathan",13,5,5,18,,,,1.0,3.0,4.0,1.0,3.0,2.0,1.0,,5.0,10.0,,,7.0,1.0,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,73,145,368,8,11.0,44.0,78.0,30.0,58.0,36.0,47.0,23.0,14.0,5.0,149.0,212.0,8.0,8.0,55.0,4.0,6.0,
Opposition,Opposition,210,71,175,385,7,8.0,41.0,67.0,43.0,39.0,38.0,69.0,14.0,23.0,1.0,155.0,223.0,6.0,9.0,57.0,7.0,7.0,
