Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",28y 130d,119 (64-2-53 54.62%),9 (0.08),←,
29,"Bolton, Shai",20y 210d,18 (12-0-6 66.67%),13 (0.72),←,
35,"Broad, Nathan",26y 82d,44 (34-0-10 77.27%),1 (0.02),←,
11,"Castagna, Jason",22y 359d,66 (44-0-22 66.67%),71 (1.08),←,
41,"Chol, Mabior",22y 158d,4 (2-0-2 50.00%),5 (1.25),←,
9,"Cotchin, Trent",29y 90d,227 (121-2-104 53.74%),125 (0.55),←,
10,"Edwards, Shane",30y 254d,245 (122-5-118 50.82%),156 (0.64),←,
43,"Eggmolesse-Smith, Derek",21y 63d,1 (1-0-0 100.00%),,←,
5,"Ellis, Brandon",25y 337d,166 (99-1-66 59.94%),56 (0.34),←,
34,"Graham, Jack",21y 131d,31 (24-0-7 77.42%),12 (0.39),←,
2,"Grimes, Dylan",27y 355d,141 (88-0-53 62.41%),3 (0.02),←,
14,"Houli, Bachar",31y 55d,197 (105-3-89 54.06%),42 (0.21),171 (95-2-74 56.14%),33 (0.19)
23,"Lambert, Kane",27y 222d,85 (56-0-29 65.88%),50 (0.59),←,
19,"Lynch, Tom",26y 248d,146 (46-1-99 31.85%),288 (1.97),15 (9-0-6 60.00%),34 (2.27)
4,"Martin, Dustin",28y 10d,215 (117-2-96 54.88%),231 (1.07),←,
33,"McIntosh, Kamdyn",25y 94d,89 (59-0-30 66.29%),26 (0.29),←,
3,"Prestia, Dion",26y 267d,145 (63-0-82 43.45%),48 (0.33),50 (37-0-13 74.00%),18 (0.36)
17,"Rioli, Daniel",22y 81d,67 (41-0-26 61.19%),62 (0.93),←,
15,"Short, Jayden",23y 163d,61 (38-0-23 62.30%),19 (0.31),←,
47,"Soldo, Ivan",23y 83d,13 (8-0-5 61.54%),2 (0.15),←,
44,"Stack, Sydney",19y 69d,13 (8-0-5 61.54%),8 (0.62),←,
1,"Vlastuin, Nick",25y 78d,131 (81-0-50 61.83%),26 (0.20),←,
Totals,Totals,25y 94d,2224 (1233-16-975 55.44%),1253 (0.56),,
C,"Hardwick, Damien",46y 322d,221 (120-2-99 54.75%),,←,
