Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
21,"Akermanis, Jason",30y 176d,266 (159-5-102 60.71%),326 (1.23),18 (8-1-9 47.22%),19 (1.06)
5,"Boyd, Matthew",24y 357d,88 (38-1-49 43.75%),28 (0.32),←,
17,"Cooney, Adam",21y 323d,85 (38-1-46 45.29%),87 (1.02),←,
4,"Cross, Daniel",24y 142d,83 (35-2-46 43.37%),14 (0.17),←,
14,"Darcy, Luke",32y 38d,224 (99-5-120 45.31%),181 (0.81),←,
10,"Eagleton, Nathan",28y 282d,211 (94-4-113 45.50%),181 (0.86),155 (68-2-85 44.52%),136 (0.88)
29,"Everitt, Andrejs",18y 159d,7 (2-1-4 35.71%),4 (0.57),←,
13,"Giansiracusa, Daniel",25y 161d,123 (48-3-72 40.24%),117 (0.95),←,
9,"Gilbee, Lindsay",26y 42d,114 (51-1-62 45.18%),59 (0.52),←,
25,"Hargrave, Ryan",26y 24d,114 (47-3-64 42.54%),32 (0.28),←,
19,"Higgins, Shaun",19y 168d,25 (13-1-11 54.00%),29 (1.16),←,
6,"Johnson, Brad",31y 32d,297 (137-6-154 47.14%),457 (1.54),←,
36,"Lake, Brian",25y 173d,95 (38-1-56 40.53%),9 (0.09),←,
38,"Morris, Dale",24y 233d,60 (33-1-26 55.83%),1 (0.02),←,
2,"Murphy, Robert",25y 71d,125 (48-3-74 39.60%),94 (0.75),←,
15,"Power, Sam",24y 48d,82 (28-2-52 35.37%),16 (0.20),←,
1,"Ray, Farren",21y 149d,61 (28-1-32 46.72%),27 (0.44),←,
34,"Skipper, Wayde",24y 171d,42 (17-2-23 42.86%),18 (0.43),←,
11,"Street, Peter",27y 74d,77 (33-1-43 43.51%),16 (0.21),60 (26-0-34 43.33%),13 (0.22)
35,"Tiller, Stephen",20y 146d,4 (0-1-3 12.50%),5 (1.25),←,
7,"West, Scott",32y 278d,318 (148-5-165 47.33%),104 (0.33),←,
12,"Williams, Tom",21y 33d,11 (5-1-5 50.00%),,←,
Totals,Totals,25y 99d,2512 (1139-51-1322 45.34%),1805 (0.72),,
C,"Eade, Rodney",49y 137d,218 (115-3-100 53.44%),,66 (34-1-31 52.27%),
