Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Brown, Luke",8,4,5,13,,,,3.0,,1.0,1.0,2.0,1.0,2.0,,6.0,8.0,,,5.0,2.0,,78.0
37,"Callinan, Ian",6,5,8,14,3,,,1.0,,4.0,2.0,1.0,1.0,,,8.0,7.0,3.0,2.0,,1.0,1.0,82.0
2,"Crouch, Brad",9,3,13,22,,,,4.0,2.0,3.0,4.0,1.0,,,,8.0,12.0,,,1.0,2.0,,84.0
32,"Dangerfield, Patrick",11,3,5,16,1,,3.0,4.0,,4.0,6.0,2.0,4.0,1.0,,11.0,6.0,1.0,,,2.0,,87.0
26,"Douglas, Richard",16,4,7,23,1,3.0,,1.0,,5.0,5.0,1.0,1.0,,,12.0,12.0,1.0,1.0,1.0,2.0,2.0,87.0
24,"Jacobs, Sam",5,2,3,8,,,24.0,2.0,,1.0,1.0,2.0,2.0,,,5.0,3.0,,,1.0,,,92.0
10 ↓,"Jaensch, Matthew",5,5,6,11,,,,3.0,2.0,1.0,1.0,2.0,1.0,2.0,,5.0,7.0,,,3.0,2.0,1.0,64.0
8,"Johnston, Lewis",10,5,3,13,,3.0,1.0,4.0,,3.0,,3.0,,1.0,,4.0,9.0,,1.0,1.0,,1.0,90.0
29 ↑,"Kerridge, Sam",1,,2,3,,,,,,1.0,,,,,,2.0,2.0,,,1.0,,,18.0
46,"Laird, Rory",10,4,10,20,,,,2.0,2.0,2.0,1.0,1.0,,,,5.0,15.0,,,1.0,,,82.0
27,"Lynch, Tom",12,6,5,17,3,1.0,,,,5.0,,2.0,,,,6.0,11.0,1.0,1.0,,1.0,2.0,81.0
14,"Mackay, David",5,3,8,13,1,,,4.0,2.0,,,2.0,,1.0,,1.0,12.0,,,2.0,1.0,1.0,86.0
22,"Otten, Andy",8,7,5,13,3,1.0,,1.0,,3.0,,2.0,2.0,2.0,,5.0,8.0,1.0,3.0,2.0,,1.0,86.0
23,"Petrenko, Jared",3,1,3,6,1,,,3.0,,1.0,1.0,,,,,3.0,3.0,,,1.0,,,82.0
25,"Rutten, Ben",7,3,6,13,,,,2.0,2.0,1.0,,1.0,2.0,1.0,,4.0,7.0,,,4.0,1.0,,89.0
34,"Shaw, Sam",7,4,2,9,,,,,4.0,,,2.0,,1.0,,5.0,5.0,1.0,,1.0,,,90.0
9,"Sloane, Rory",8,2,9,17,2,,4.0,2.0,1.0,5.0,6.0,3.0,2.0,2.0,,12.0,5.0,,,2.0,,2.0,88.0
33,"Smith, Brodie",9,1,8,17,,,,1.0,2.0,3.0,2.0,2.0,,,,3.0,11.0,,,3.0,2.0,1.0,84.0
12,"Talia, Daniel",5,1,1,6,,,,,1.0,,,3.0,,2.0,,4.0,3.0,1.0,,,,,88.0
5,"Thompson, Scott",16,1,10,26,,,,6.0,1.0,3.0,6.0,4.0,4.0,3.0,,13.0,12.0,,,1.0,,,91.0
7,"van Berlo, Nathan",9,2,6,15,1,1.0,,4.0,1.0,3.0,1.0,6.0,,3.0,,6.0,9.0,,1.0,1.0,,,86.0
17,"Vince, Bernie",16,3,11,27,1,1.0,1.0,4.0,3.0,4.0,8.0,3.0,1.0,,,12.0,15.0,,,,2.0,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,69,136,322,17,12.0,33.0,51.0,23.0,53.0,45.0,45.0,21.0,21.0,,140.0,182.0,9.0,9.0,31.0,18.0,12.0,
Opposition,Opposition,190,88,198,388,20,11.0,41.0,64.0,29.0,47.0,35.0,42.0,21.0,21.0,6.0,138.0,252.0,19.0,21.0,33.0,12.0,16.0,
