West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
37,"Barrass, Tom",6,6,5,11,,,1.0,1.0,3.0,,,,,,,6.0,5.0,4.0,,11.0,,,78.0
1,"Brown, Mitch",3,,2,5,1,,,3.0,,,,1.0,,,,3.0,2.0,,,5.0,,,74.0
26,"Butler, Sam",12,5,12,24,,,,3.0,5.0,2.0,1.0,,,,,6.0,17.0,,,2.0,,,88.0
15,"Cripps, Jamie",4,,2,6,,,,6.0,1.0,,,1.0,,1.0,,1.0,6.0,,,,,,77.0
27,"Darling, Jack",6,6,5,11,2,,,3.0,,3.0,,4.0,1.0,2.0,,7.0,6.0,1.0,2.0,3.0,,,87.0
3,"Gaff, Andrew",20,2,15,35,,,,1.0,4.0,4.0,4.0,2.0,1.0,1.0,,9.0,25.0,,,2.0,1.0,,88.0
22,"Giles, Jonathan",5,4,3,8,,,28.0,3.0,,2.0,,1.0,,1.0,,3.0,5.0,2.0,,2.0,,,67.0
33,"Hill, Josh",6,4,5,11,1,1.0,,2.0,,3.0,,2.0,1.0,2.0,,5.0,6.0,2.0,1.0,,,,77.0
25,"Hurn, Shannon",19,3,6,25,,,,2.0,9.0,1.0,2.0,1.0,,,,8.0,12.0,1.0,,2.0,1.0,,83.0
34,"Hutchings, Mark",10,5,15,25,,,,5.0,2.0,2.0,2.0,1.0,1.0,,,9.0,17.0,,,2.0,,,81.0
17,"Kennedy, Josh",12,8,4,16,2,1.0,,2.0,,2.0,1.0,4.0,1.0,2.0,,7.0,8.0,1.0,3.0,1.0,,,100.0
2,"LeCras, Mark",13,7,4,17,1,2.0,,3.0,2.0,4.0,2.0,2.0,1.0,1.0,,7.0,10.0,2.0,2.0,1.0,,,88.0
29,"Lycett, Scott",4,2,5,9,,,16.0,6.0,,3.0,4.0,,2.0,,,6.0,5.0,,,2.0,,,58.0
7,"Masten, Chris",11,2,16,27,,,,2.0,1.0,2.0,1.0,1.0,,,,8.0,20.0,,,,,,87.0
20,"McGovern, Jeremy",10,7,3,13,,,6.0,1.0,3.0,2.0,,3.0,,2.0,,2.0,10.0,2.0,,5.0,1.0,,79.0
11,"Priddis, Matt",5,,20,25,,1.0,,8.0,,1.0,5.0,4.0,1.0,1.0,,16.0,9.0,,,1.0,,,86.0
31,"Schofield, Will",5,4,5,10,,,,6.0,1.0,,,,1.0,,,2.0,8.0,,,6.0,,,90.0
4,"Sheed, Dom",5,2,4,9,,,,1.0,1.0,,1.0,2.0,,,,1.0,8.0,,,,,,69.0
5,"Sheppard, Brad",8,2,12,20,,,,4.0,1.0,2.0,,3.0,,2.0,,5.0,15.0,,,2.0,,,89.0
13,"Shuey, Luke",6,1,22,28,,,1.0,6.0,1.0,3.0,8.0,1.0,1.0,,,19.0,9.0,,,1.0,,1.0,83.0
12,"Wellingham, Sharrod",11,4,4,15,,,,4.0,2.0,3.0,,4.0,1.0,1.0,,5.0,9.0,1.0,,5.0,1.0,,84.0
6,"Yeo, Elliot",8,5,5,13,,2.0,,7.0,,4.0,1.0,3.0,1.0,1.0,,4.0,12.0,,1.0,1.0,,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,79,174,363,7,10.0,52.0,79.0,36.0,43.0,32.0,40.0,13.0,17.0,,139.0,224.0,16.0,9.0,54.0,4.0,1.0,
Opposition,Opposition,213,87,187,400,14,15.0,30.0,77.0,32.0,55.0,40.0,35.0,17.0,13.0,,162.0,238.0,14.0,12.0,63.0,6.0,11.0,
