Notes,Previous,Current
Hawthorn's highest score,"225 v Geelong - R21,1986",Current holder
Fitzroy's highest score conceded,"199 v Richmond - R5,1980",Current holder
Hawthorn's biggest win,"143 v Footscray - R3,1982","165 v Port Adelaide - R21,2011"
Fitzroy's biggest loss,"131 v Melbourne - R2,1991",Current holder
