Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Blair, Jarryd",6,1,11,17,1,,,7.0,1.0,3.0,4.0,2.0,1.0,1.0,,10.0,8.0,,1.0,1.0,,,84.0
16,"Brown, Nathan",4,4,4,8,,1.0,,1.0,,2.0,,3.0,,3.0,,2.0,6.0,1.0,,6.0,1.0,1.0,100.0
9,"Clarke, Martin",10,5,4,14,,1.0,,1.0,2.0,1.0,,1.0,,1.0,,4.0,9.0,1.0,,2.0,,,86.0
32,"Cloke, Travis",13,8,5,18,4,3.0,,,,3.0,,4.0,2.0,2.0,2.0,5.0,13.0,2.0,7.0,1.0,,,95.0
41 ↑,"Dwyer, Sam",7,3,2,9,,,,,,2.0,,,,,,1.0,8.0,,,,,2.0,49.0
19,"Elliott, Jamie",7,3,6,13,,2.0,,3.0,,4.0,,,,,,7.0,5.0,,1.0,1.0,,,80.0
45,"Frost, Jack",9,2,3,12,,,,3.0,3.0,2.0,,3.0,,1.0,,9.0,3.0,,,5.0,,,87.0
6,"Goldsack, Tyson",5,3,4,9,2,,,4.0,2.0,1.0,,,1.0,,,8.0,2.0,1.0,,3.0,,1.0,89.0
26 ↓,"Johnson, Ben",3,1,8,11,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,4.0,7.0,,,1.0,1.0,,33.0
18,"Jolly, Darren",4,6,6,10,,,22.0,2.0,,1.0,2.0,1.0,2.0,1.0,,5.0,6.0,,,1.0,,,79.0
21,"Lynch, Quinten",10,8,1,11,2,,4.0,1.0,,7.0,1.0,,,,,3.0,8.0,2.0,1.0,1.0,,1.0,94.0
3,"Macaffer, Brent",6,5,6,12,1,,,2.0,1.0,3.0,,5.0,,3.0,,4.0,8.0,1.0,1.0,,,,91.0
5,"Maxwell, Nick",12,3,6,18,,,,4.0,6.0,,1.0,3.0,,1.0,,5.0,11.0,1.0,,5.0,,,94.0
8,"Lumumba, Heritier",17,9,7,24,,1.0,,3.0,2.0,5.0,1.0,4.0,1.0,2.0,,5.0,19.0,,,,,1.0,89.0
10,"Pendlebury, Scott",19,5,11,30,1,,,5.0,2.0,5.0,8.0,,4.0,,,18.0,12.0,1.0,,1.0,,1.0,88.0
20,"Reid, Ben",6,1,2,8,,,,,4.0,,,,1.0,,,4.0,4.0,,,3.0,,,61.0
2,"Russell, Jordan",6,1,5,11,,,,2.0,5.0,,,3.0,1.0,1.0,,4.0,4.0,,,3.0,,,87.0
22,"Sidebottom, Steele",19,9,2,21,3,1.0,,1.0,,2.0,1.0,4.0,1.0,2.0,1.0,8.0,14.0,3.0,2.0,2.0,,1.0,91.0
28,"Sinclair, Ben",6,2,1,7,,,,8.0,,3.0,,1.0,2.0,,,3.0,5.0,,,,,1.0,78.0
36,"Swan, Dane",19,10,12,31,1,1.0,,1.0,2.0,3.0,4.0,3.0,1.0,,,13.0,19.0,2.0,1.0,2.0,1.0,1.0,86.0
24,"Thomas, Josh",11,2,7,18,,1.0,,3.0,4.0,3.0,7.0,6.0,,3.0,,10.0,9.0,,,,,,65.0
34,"Toovey, Alan",11,1,4,15,,,,5.0,2.0,2.0,1.0,2.0,4.0,1.0,,10.0,4.0,,,5.0,2.0,1.0,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,92,117,327,15,13.0,26.0,57.0,37.0,52.0,32.0,46.0,22.0,23.0,3.0,142.0,184.0,15.0,14.0,43.0,5.0,11.0,
Opposition,Opposition,209,73,144,353,13,9.0,44.0,39.0,30.0,53.0,43.0,45.0,23.0,22.0,3.0,137.0,211.0,7.0,7.0,41.0,4.0,9.0,
