Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
23,"Atkins, Simon",27y 182d,158 (65-2-91 41.77%),85 (0.54),31 (2-0-29 6.45%),9 (0.29)
22,"Bamford, Scott",21y 365d,12 (1-0-11 8.33%),5 (0.42),←,
5,"Barker, John",21y 124d,37 (6-0-31 16.22%),10 (0.27),←,
41,"Bird, Peter",20y 144d,15 (2-0-13 13.33%),7 (0.47),←,
1,"Boyd, Brad",24y 317d,61 (16-0-45 26.23%),46 (0.75),←,
30,"Carter, Nick",18y 55d,7 (1-0-6 14.29%),1 (0.14),←,
29,"Cassidy, Brad",19y 333d,7 (1-0-6 14.29%),7 (1.00),←,
27,"Chandler, Brett",20y 347d,19 (1-0-18 5.26%),2 (0.11),←,
40,"Clayton, Shane",17y 242d,7 (1-0-6 14.29%),,←,
24,"Cummings, Trent",22y 177d,23 (3-0-20 13.04%),17 (0.74),←,
31,"Dent, Matthew",24y 157d,38 (4-0-34 10.53%),7 (0.18),←,
17,"Hawking, Simon",23y 109d,55 (12-0-43 21.82%),25 (0.45),←,
2,"Johnson, Chris",20y 23d,49 (7-0-42 14.29%),59 (1.20),←,
38,"McCarthy, Adam",24y 129d,29 (8-0-21 27.59%),12 (0.41),14 (2-0-12 14.29%),9 (0.64)
25,"McCarthy, John",29y 84d,154 (52-1-101 34.09%),169 (1.10),62 (14-0-48 22.58%),68 (1.10)
3,"Mellington, Anthony",21y 331d,16 (1-0-15 6.25%),20 (1.25),←,
7,"Molloy, Jarrod",20y 41d,52 (8-0-44 15.38%),53 (1.02),←,
4,"Paxman, Stephen",25y 201d,93 (22-0-71 23.66%),18 (0.19),←,
8,"Pike, Martin",23y 221d,50 (12-0-38 24.00%),35 (0.70),26 (2-0-24 7.69%),10 (0.38)
12,"Primus, Matthew",21y 162d,10 (1-0-9 10.00%),3 (0.30),←,
37,"Rombotis, John",19y 253d,16 (2-0-14 12.50%),10 (0.63),←,
Totals,Totals,22y 121d,908 (226-3-679 24.89%),591 (0.65),,
C,"Nunan, Michael",47y 71d,12 (1-0-11 8.33%),,←,
