Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
18,"Cameron, Leon",22y 352d,105 (55-2-48 53.33%),45 (0.43),←,
20,"Ellen, Shane",22y 231d,8 (4-0-4 50.00%),1 (0.13),←,
32,"Ellis, Craig",20y 77d,9 (4-0-5 44.44%),,←,
3,"Grant, Chris",22y 250d,119 (64-2-53 54.62%),258 (2.17),←,
1,"Grgic, Ilija",23y 168d,50 (29-1-20 59.00%),80 (1.60),←,
29,"Griffin, Daryl",19y 209d,11 (6-1-4 59.09%),,←,
37,"Hargraves, Daniel",19y 208d,14 (8-0-6 57.14%),16 (1.14),←,
6,"Johnson, Brad",19y 33d,27 (13-1-13 50.00%),16 (0.59),←,
4,"Kellett, Nigel",25y 245d,75 (40-1-34 54.00%),33 (0.44),←,
2,"Kolyniuk, Steven",25y 46d,106 (54-1-51 51.42%),121 (1.14),←,
12,"Koster, Kym",22y 200d,35 (19-1-15 55.71%),11 (0.31),←,
36,"Lane, Tyson",18y 360d,9 (4-0-5 44.44%),7 (0.78),←,
39,"Liberatore, Tony",29y 190d,148 (82-2-64 56.08%),73 (0.49),←,
9,"Nicholson, Brad",21y 77d,26 (14-1-11 55.77%),1 (0.04),←,
44,"Osborne, Richard",31y 65d,241 (102-1-138 42.53%),527 (2.19),38 (21-1-16 56.58%),77 (2.03)
22,"Quill, Peter",25y 362d,41 (25-1-15 62.20%),15 (0.37),←,
34,"Sexton, Ben",22y 295d,36 (19-1-16 54.17%),32 (0.89),←,
5,"Smith, Rohan",22y 81d,50 (29-1-20 59.00%),23 (0.46),←,
25,"Watts, Jason",24y 22d,29 (16-0-13 55.17%),3 (0.10),←,
7,"West, Scott",20y 279d,60 (32-1-27 54.17%),35 (0.58),←,
15,"Wynd, Scott",25y 207d,123 (63-2-58 52.03%),24 (0.20),←,
Totals,Totals,23y 49d,1322 (682-20-620 51.59%),1321 (1.00),,
C,"Joyce, Alan",52y 303d,135 (89-1-45 66.30%),,42 (22-1-19 53.57%),
