West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
26,"Ball, Jason",25y 133d,69 (42-0-27 60.87%),98 (1.42),←,
6,"Banfield, Drew",24y 35d,101 (64-0-37 63.37%),39 (0.39),←,
10,"Braun, Michael",20y 10d,9 (4-0-5 44.44%),4 (0.44),←,
9,"Cousins, Ben",19y 277d,40 (27-0-13 67.50%),59 (1.48),←,
29,"Donnelly, Andrew",25y 5d,31 (22-0-9 70.97%),36 (1.16),←,
19,"Gardiner, Michael",18y 272d,12 (8-0-4 66.67%),11 (0.92),←,
7,"Gehrig, Fraser",22y 31d,64 (39-0-25 60.94%),67 (1.05),←,
1,"Heady, Brett",28y 89d,142 (90-2-50 64.08%),218 (1.54),←,
27,"Jakovich, Glen",25y 10d,141 (90-1-50 64.18%),25 (0.18),←,
2,"Kemp, Dean",29y 45d,178 (119-2-57 67.42%),100 (0.56),←,
28,"Lewis, Chris",29y 17d,199 (125-2-72 63.32%),244 (1.23),←,
30,"Matera, Peter",29y,165 (111-1-53 67.58%),159 (0.96),←,
33,"Matera, Phillip",22y 127d,26 (13-0-13 50.00%),40 (1.54),←,
11,"McIntosh, Ashley",25y 165d,132 (90-0-42 68.18%),91 (0.69),←,
17,"McKenna, Guy",28y 327d,215 (138-1-76 64.42%),26 (0.12),←,
42,"Morrison, Chad",20y 5d,44 (27-0-17 61.36%),34 (0.77),←,
21,"Schofield, Jarrad",23y 63d,51 (32-0-19 62.75%),31 (0.61),←,
22,"Stone, Nicholas",25y 196d,16 (9-0-7 56.25%),4 (0.25),←,
50,"Turnbull, Ryan",26y 192d,98 (63-0-35 64.29%),26 (0.27),←,
39,"Waterman, Chris",29y 196d,156 (102-2-52 66.03%),71 (0.46),←,
13,"Wooden, Josh",19y 140d,20 (10-0-10 50.00%),3 (0.15),←,
24,"Worsfold, John",29y 190d,194 (122-2-70 63.40%),35 (0.18),←,
Totals,Totals,24y 297d,2103 (1347-13-743 64.05%),1421 (0.68),,
C,"Malthouse, Mick",44y 229d,333 (199-4-130 60.36%),,198 (132-2-64 67.17%),
