Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 111d,49 (20-1-28 41.84%),28 (0.57),←,
35,"Baxter, Darren",26y 25d,85 (38-2-45 45.88%),10 (0.12),←,
1,"Charles, Justin",20y 197d,12 (6-0-6 50.00%),1 (0.08),←,
20,"Coleman, Glenn",30y 69d,148 (80-1-67 54.39%),82 (0.55),23 (12-0-11 52.17%),18 (0.78)
26,"Del-Re, Danny",23y 60d,17 (8-0-9 47.06%),25 (1.47),←,
12,"Eppelstun, Greg",24y 148d,82 (41-1-40 50.61%),1 (0.01),←,
32,"Foster, Peter",30y 315d,131 (69-2-60 53.44%),51 (0.39),124 (66-2-56 54.03%),49 (0.40)
9,"Georgiades, John",25y 100d,13 (5-0-8 38.46%),25 (1.92),←,
29,"Grant, Chris",18y 121d,23 (12-0-11 52.17%),53 (2.30),←,
44,"Grant, Jamie",20y 294d,3 (1-0-2 33.33%),,←,
7,"Hawkins, Doug",30y 343d,246 (98-3-145 40.45%),134 (0.54),←,
43,"Hogg, Matthew",22y 113d,50 (21-1-28 43.00%),4 (0.08),←,
10,"Hunter, Mark",25y 222d,42 (17-1-24 41.67%),2 (0.05),←,
4,"Kellett, Nigel",21y 116d,7 (2-0-5 28.57%),,←,
21,"Kolyniuk, Steven",20y 282d,34 (16-1-17 48.53%),36 (1.06),←,
39,"Liberatore, Tony",25y 61d,40 (23-0-17 57.50%),23 (0.57),←,
27,"Macpherson, Stephen",26y 132d,122 (57-2-63 47.54%),131 (1.07),←,
33,"Royal, Brian",29y 122d,161 (84-2-75 52.80%),209 (1.30),←,
24,"Wallis, Stephen",26y 168d,170 (86-2-82 51.18%),40 (0.24),←,
15,"Wynd, Scott",21y 78d,38 (16-0-22 42.11%),6 (0.16),←,
Totals,Totals,24y 209d,1473 (700-19-754 47.52%),861 (0.58),,
C,"Wheeler, Terry",36y 31d,25 (13-0-12 52.00%),,←,
