Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 193d,90 (56-0-34 62.22%),137 (1.52),52 (38-0-14 73.08%),82 (1.58)
11,"Archer, Glenn",27y 16d,167 (111-0-56 66.47%),103 (0.62),←,
26,"Bell, Peter",24y 39d,105 (72-0-33 68.57%),103 (0.98),103 (72-0-31 69.90%),101 (0.98)
12,"Blakey, John",33y 260d,304 (164-0-140 53.95%),97 (0.32),169 (112-0-57 66.27%),59 (0.35)
22,"Burton, Matthew",29y 326d,73 (23-0-50 31.51%),33 (0.45),3 (1-0-2 33.33%),1 (0.33)
17,"Calthorpe, David",26y 236d,106 (61-2-43 58.49%),67 (0.63),5 (3-0-2 60.00%),7 (1.40)
18,"Carey, Wayne",28y 318d,211 (133-0-78 63.03%),574 (2.72),←,
23,"Clayton, Shane",21y 168d,48 (25-0-23 52.08%),16 (0.33),30 (23-0-7 76.67%),15 (0.50)
19,"Dhurrkay, Gary",26y 36d,66 (30-0-36 45.45%),63 (0.95),15 (10-0-5 66.67%),17 (1.13)
6,"Grant, Shannon",22y 356d,112 (72-1-39 64.73%),130 (1.16),54 (40-0-14 74.07%),92 (1.70)
29,"Harvey, Brent",21y 331d,69 (49-0-20 71.01%),76 (1.10),←,
34,"King, David",28y 33d,137 (93-0-44 67.88%),50 (0.36),←,
20,"Kingsley, Kent",21y 196d,10 (9-0-1 90.00%),9 (0.90),←,
27,"Lange, Adam",21y 88d,10 (6-0-4 60.00%),8 (0.80),←,
35,"Makepeace, Troy",21y 34d,2 (2-0-0 100.00%),1 (0.50),←,
5,"McCartney, Jason",26y 26d,126 (71-0-55 56.35%),51 (0.40),51 (37-0-14 72.55%),3 (0.06)
31,"McKernan, Corey",26y 112d,143 (100-0-43 69.93%),167 (1.17),←,
28,"Pickett, Byron",22y 242d,56 (41-0-15 73.21%),1 (0.02),←,
13,"Pike, Martin",27y 147d,125 (60-0-65 48.00%),53 (0.42),65 (48-0-17 73.85%),13 (0.20)
3,"Rawlings, Brady",18y 304d,16 (14-0-2 87.50%),4 (0.25),←,
7,"Simpson, Adam",24y 53d,95 (70-0-25 73.68%),36 (0.38),←,
36,"Watt, Shannon",19y 135d,3 (3-0-0 100.00%),,←,
Totals,Totals,24y 282d,2074 (1265-3-806 60.99%),1779 (0.86),,
C,"Pagan, Denis",52y 198d,175 (117-0-58 66.86%),,←,
