Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",9,2,2,11,1,2.0,,1.0,,4.0,,3.0,1.0,,,2.0,8.0,,1.0,2.0,,,62.0
41,"Banfield, Bailey",5,1,7,12,,,,5.0,,1.0,2.0,3.0,1.0,2.0,,5.0,9.0,,,,,,79.0
19,"Blakely, Connor",21,11,14,35,,,,1.0,9.0,2.0,,5.0,3.0,,,5.0,29.0,,,2.0,,,78.0
8,"Brayshaw, Andrew",9,5,7,16,,,,6.0,2.0,3.0,1.0,3.0,,2.0,,5.0,11.0,,,1.0,,,69.0
5,"Cerra, Adam",4,1,10,14,2,,,3.0,,2.0,2.0,1.0,1.0,,,8.0,6.0,,,,,,81.0
36,"Cox, Brennan",7,5,5,12,1,2.0,3.0,1.0,,3.0,,2.0,,1.0,,4.0,8.0,2.0,2.0,4.0,,2.0,90.0
12,"Crowden, Mitch",1,1,9,10,,,,3.0,,1.0,,4.0,,3.0,,5.0,8.0,,,1.0,,,80.0
44,"Duman, Taylin",9,6,6,15,,,,1.0,3.0,,1.0,3.0,,3.0,,2.0,13.0,,,1.0,,,82.0
7,"Fyfe, Nat",10,2,26,36,1,1.0,,4.0,1.0,4.0,13.0,5.0,1.0,2.0,2.0,25.0,12.0,2.0,1.0,4.0,1.0,,91.0
21,"Hamling, Joel",8,8,10,18,,,,1.0,3.0,1.0,,2.0,1.0,2.0,,6.0,12.0,2.0,,7.0,,,92.0
37,"Johnson, Michael",14,8,4,18,,,,3.0,4.0,2.0,,2.0,,1.0,,4.0,13.0,2.0,,4.0,,,86.0
26,"Langdon, Ed",16,9,17,33,,1.0,,5.0,3.0,4.0,3.0,1.0,,,,8.0,25.0,,,,,1.0,79.0
3,"Matera, Brandon",11,4,2,13,2,1.0,,2.0,,5.0,,1.0,,,,5.0,10.0,,,2.0,,2.0,76.0
23,"McCarthy, Cam",4,2,3,7,1,1.0,,1.0,,1.0,,2.0,,1.0,,3.0,4.0,,1.0,1.0,,,91.0
16,"Mundy, David",13,6,6,19,1,,,1.0,,5.0,2.0,2.0,1.0,,,8.0,11.0,,2.0,,,3.0,85.0
27,"Neale, Lachie",12,3,20,32,1,1.0,,4.0,1.0,3.0,9.0,2.0,1.0,1.0,1.0,15.0,18.0,,1.0,1.0,1.0,,77.0
43,"Nyhuis, Ryan",8,4,9,17,,,,1.0,,1.0,,1.0,2.0,,,7.0,11.0,,,4.0,,,81.0
25,"Pearce, Alex",6,4,9,15,,,,2.0,3.0,1.0,,,,,,5.0,8.0,,,3.0,,,92.0
6,"Pearce, Danyle",13,5,5,18,1,,,4.0,1.0,6.0,2.0,2.0,1.0,,,4.0,14.0,,,,,,75.0
38,"Ryan, Luke",20,10,7,27,,1.0,,2.0,3.0,3.0,1.0,2.0,1.0,,,7.0,18.0,,1.0,4.0,,1.0,89.0
31,"Sandilands, Aaron",7,4,6,13,1,,41.0,2.0,1.0,,3.0,2.0,2.0,2.0,3.0,8.0,7.0,2.0,2.0,4.0,,,84.0
18,"Tucker, Darcy",8,3,5,13,1,,,,,5.0,,3.0,,3.0,,3.0,13.0,,,1.0,1.0,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,104,189,404,13,11.0,44.0,53.0,34.0,57.0,39.0,51.0,16.0,23.0,6.0,144.0,268.0,10.0,11.0,46.0,3.0,9.0,
Opposition,Opposition,189,84,184,373,8,11.0,24.0,63.0,37.0,46.0,29.0,50.0,23.0,16.0,,125.0,253.0,5.0,7.0,34.0,1.0,3.0,
