Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Betheras, Rupert",1,,5,6,,,1.0,2.0,,1.0,1.0,1.0,,1.0,,4.0,2.0,,,2.0,,,
5,"Buckley, Nathan",10,3,6,16,,1.0,,5.0,,4.0,2.0,3.0,1.0,1.0,,8.0,9.0,2.0,1.0,2.0,,,
17,"Burns, Scott",14,6,16,30,2,,,3.0,,3.0,8.0,5.0,1.0,1.0,2.0,15.0,15.0,,2.0,2.0,,,
8,"Clement, James",9,3,5,14,,,,,3.0,1.0,1.0,3.0,3.0,1.0,,11.0,6.0,,,1.0,,,
34,"Cloke, Jason",9,5,4,13,,,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,10.0,1.0,,8.0,,,
1,"Davis, Leon",11,,3,14,4,,,5.0,,2.0,3.0,2.0,2.0,,,10.0,4.0,,,3.0,,,
19,"Davis, Nick",5,3,3,8,1,,,1.0,,3.0,2.0,3.0,,2.0,,4.0,3.0,,,,,,
4,"Didak, Alan",11,2,2,13,1,,,,3.0,5.0,2.0,1.0,1.0,1.0,,5.0,8.0,,1.0,3.0,2.0,,
25,"Fraser, Josh",5,1,4,9,,,8.0,3.0,,1.0,3.0,2.0,2.0,1.0,,7.0,3.0,1.0,,,,,
9,"Freeborn, Glenn",13,4,6,19,,,,1.0,4.0,1.0,2.0,2.0,,1.0,,8.0,12.0,,,1.0,1.0,,
6,"Holland, Brodie",7,3,5,12,1,2.0,,,,3.0,1.0,1.0,,,,5.0,8.0,,1.0,1.0,2.0,,
26,"Johnson, Ben",2,2,2,4,,,,3.0,1.0,,,1.0,,,,1.0,3.0,,,1.0,,,
18,"Licuria, Paul",19,11,6,25,,,,,6.0,2.0,,3.0,1.0,,,6.0,18.0,,,,4.0,,
24,"Lockyer, Tarkyn",13,4,2,15,,1.0,,1.0,2.0,3.0,,1.0,2.0,1.0,,4.0,13.0,,,,2.0,,
27,"McGough, Mark",9,3,7,16,,,,2.0,3.0,3.0,1.0,2.0,,1.0,,3.0,13.0,1.0,,,1.0,,
12,"McKee, Steven",7,4,4,11,,1.0,7.0,1.0,1.0,2.0,4.0,1.0,,,,5.0,6.0,,,5.0,,,
7,"Molloy, Jarrod",5,2,6,11,1,,1.0,4.0,,2.0,3.0,1.0,,,,3.0,7.0,,,2.0,,,
11,"OBree, Shane",10,2,15,25,,,,,2.0,3.0,7.0,,1.0,,,14.0,11.0,,,3.0,1.0,,
35,"Prestigiacomo, Simon",4,2,3,7,,,2.0,1.0,2.0,,1.0,1.0,1.0,,,4.0,3.0,1.0,,5.0,,,
23,"Rocca, Anthony",14,10,4,18,,3.0,7.0,,,11.0,1.0,2.0,,2.0,,9.0,11.0,3.0,3.0,2.0,,,
20,"Tarrant, Chris",8,7,3,11,4,1.0,1.0,4.0,,2.0,,1.0,,1.0,,6.0,5.0,3.0,4.0,,1.0,,
14,"Wakelin, Shane",6,3,,6,,,,3.0,2.0,1.0,,,2.0,,,2.0,3.0,,,5.0,1.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,80,111,303,14,11.0,29.0,42.0,31.0,54.0,43.0,38.0,20.0,16.0,3.0,138.0,173.0,12.0,12.0,46.0,15.0,,
Opposition,Opposition,168,63,96,264,12,12.0,33.0,53.0,34.0,46.0,42.0,48.0,16.0,20.0,3.0,117.0,143.0,15.0,10.0,41.0,6.0,,
