Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
30,"Allen, Scott",20y 215d,10 (2-0-8 20.00%),5 (0.50),←,
18,"Cameron, Leon",23y,107 (56-2-49 53.27%),46 (0.43),←,
20,"Ellen, Shane",22y 244d,10 (5-0-5 50.00%),1 (0.10),←,
3,"Grant, Chris",22y 263d,121 (65-2-54 54.55%),261 (2.16),←,
1,"Grgic, Ilija",23y 181d,52 (30-1-21 58.65%),82 (1.58),←,
29,"Griffin, Daryl",19y 222d,13 (7-1-5 57.69%),,←,
37,"Hargraves, Daniel",19y 221d,16 (9-0-7 56.25%),22 (1.38),←,
6,"Johnson, Brad",19y 46d,29 (14-1-14 50.00%),17 (0.59),←,
4,"Kellett, Nigel",25y 258d,77 (41-1-35 53.90%),35 (0.45),←,
12,"Koster, Kym",22y 213d,37 (20-1-16 55.41%),13 (0.35),←,
39,"Liberatore, Tony",29y 203d,150 (83-2-65 56.00%),75 (0.50),←,
9,"Nicholson, Brad",21y 90d,28 (15-1-12 55.36%),1 (0.04),←,
44,"Osborne, Richard",31y 78d,243 (103-1-139 42.59%),532 (2.19),40 (22-1-17 56.25%),82 (2.05)
22,"Quill, Peter",26y 10d,43 (26-1-16 61.63%),15 (0.35),←,
11,"Romero, Jose",24y 32d,106 (57-0-49 53.77%),108 (1.02),17 (8-0-9 47.06%),10 (0.59)
34,"Sexton, Ben",22y 308d,38 (20-1-17 53.95%),32 (0.84),←,
5,"Smith, Rohan",22y 94d,52 (30-1-21 58.65%),24 (0.46),←,
17,"Standfield, Barry",25y 201d,94 (52-1-41 55.85%),37 (0.39),←,
25,"Watts, Jason",24y 35d,31 (17-0-14 54.84%),4 (0.13),←,
7,"West, Scott",20y 292d,62 (33-1-28 54.03%),36 (0.58),←,
15,"Wynd, Scott",25y 220d,125 (64-2-59 52.00%),24 (0.19),←,
Totals,Totals,23y 163d,1444 (749-20-675 51.87%),1370 (0.95),,
C,"Joyce, Alan",52y 316d,137 (90-1-46 66.06%),,44 (23-1-20 53.41%),
