Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Bail, Rohan",12,4,2,14,2,1.0,,10.0,,4.0,,4.0,2.0,2.0,,6.0,7.0,,1.0,1.0,,1.0,86.0
18,"Cross, Daniel",6,3,18,24,,1.0,,8.0,2.0,3.0,2.0,3.0,2.0,1.0,,8.0,15.0,,,5.0,,,94.0
6,"Dawes, Chris",6,3,2,8,2,,,2.0,,2.0,,3.0,,,,3.0,5.0,,2.0,3.0,,2.0,83.0
14,"Dunn, Lynden",15,11,1,16,1,2.0,,1.0,,6.0,,3.0,2.0,1.0,,6.0,10.0,2.0,3.0,2.0,,,93.0
32 ↑,"Evans, Michael",3,1,,3,,,,4.0,,,1.0,,,,,3.0,,1.0,,,,,29.0
8,"Frawley, James",18,14,6,24,2,1.0,1.0,,,6.0,1.0,1.0,,,3.0,7.0,17.0,1.0,2.0,1.0,,1.0,91.0
41,"Georgiou, Alex",4,1,2,6,,,,,1.0,2.0,1.0,,,,,1.0,4.0,,,2.0,2.0,,83.0
31,"Grimes, Jack",17,6,5,22,,,,2.0,6.0,2.0,,2.0,3.0,1.0,,5.0,13.0,,,3.0,,1.0,99.0
38,"Howe, Jeremy",5,2,3,8,,,,3.0,1.0,,,,2.0,,,3.0,6.0,2.0,,5.0,,,98.0
45,"Jones, Matt",13,5,9,22,,,,4.0,1.0,3.0,3.0,1.0,2.0,,,8.0,13.0,,,1.0,,1.0,81.0
2,"Jones, Nathan",16,1,12,28,1,,,4.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,11.0,17.0,,,2.0,,,87.0
24,"Kennedy Harris, Jay",8,1,3,11,1,,,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,7.0,4.0,,,3.0,,,78.0
16,"Kent, Dean",10,5,2,12,,1.0,,1.0,,3.0,1.0,1.0,,,,6.0,6.0,1.0,,,,,74.0
25,"McDonald, Tom",11,2,5,16,,,,4.0,4.0,,,2.0,2.0,,,7.0,8.0,1.0,,10.0,,,98.0
13,"McKenzie, Jordie",7,1,7,14,,,,7.0,1.0,2.0,1.0,3.0,2.0,3.0,,3.0,11.0,,,1.0,,1.0,84.0
21,"Pedersen, Cameron",5,1,8,13,1,,3.0,5.0,4.0,,1.0,,1.0,,,6.0,5.0,,,4.0,,,92.0
42,"Spencer, Jake",6,5,4,10,,,30.0,5.0,,1.0,1.0,3.0,2.0,2.0,,5.0,5.0,2.0,,3.0,,1.0,85.0
46 ↓,"Terlich, Dean",6,3,3,9,,,,4.0,2.0,1.0,1.0,1.0,1.0,,,3.0,5.0,,,1.0,,,54.0
12,"Tyson, Dom",9,7,8,17,,,,5.0,3.0,1.0,1.0,4.0,,3.0,,3.0,15.0,,,,,1.0,85.0
23,"Vince, Bernie",5,4,6,11,,1.0,,4.0,1.0,,1.0,1.0,,,,6.0,5.0,,1.0,,1.0,,79.0
7,"Viney, Jack",11,4,10,21,,,,5.0,1.0,4.0,4.0,4.0,,1.0,,9.0,12.0,,,1.0,,,66.0
4,"Watts, Jack",8,3,6,14,2,,,4.0,,,2.0,3.0,,1.0,,7.0,8.0,2.0,2.0,1.0,,,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,87,122,323,12,9.0,34.0,84.0,34.0,45.0,25.0,45.0,24.0,18.0,5.0,123.0,191.0,12.0,11.0,49.0,3.0,9.0,
Opposition,Opposition,221,99,153,374,7,16.0,41.0,65.0,32.0,47.0,39.0,49.0,18.0,23.0,1.0,135.0,238.0,9.0,3.0,62.0,26.0,5.0,
