Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Conca, Reece",11,5,11,22,,,,,1.0,3.0,2.0,3.0,3.0,1.0,,6.0,16.0,,,2.0,1.0,1.0,77.0
9,"Cotchin, Trent",14,3,9,23,2,1.0,,4.0,3.0,4.0,8.0,6.0,3.0,1.0,2.0,14.0,10.0,,2.0,2.0,1.0,,79.0
3,"Deledio, Brett",11,3,16,27,,,,6.0,2.0,1.0,4.0,1.0,,,,8.0,17.0,,,,,,88.0
10,"Edwards, Shane",7,4,10,17,1,,,1.0,1.0,2.0,1.0,1.0,1.0,,,3.0,13.0,,,,3.0,2.0,85.0
41,"Foley, Nathan",14,3,10,24,,1.0,,9.0,,6.0,5.0,1.0,,,,8.0,15.0,,,,,,78.0
25,"Graham, Angus",6,5,7,13,,,27.0,2.0,1.0,2.0,5.0,4.0,1.0,4.0,,4.0,7.0,1.0,,4.0,,,80.0
6,"Grigg, Shaun",13,5,11,24,,,,2.0,6.0,2.0,,2.0,,2.0,,7.0,18.0,,,2.0,1.0,,83.0
48,"Grimes, Dylan",5,5,6,11,,,,2.0,1.0,,1.0,4.0,,3.0,,7.0,3.0,2.0,,11.0,,,94.0
14,"Houli, Bachar",15,9,15,30,,,,3.0,2.0,2.0,1.0,2.0,,,,3.0,26.0,,,2.0,1.0,,86.0
23,"Jackson, Daniel",15,4,11,26,,1.0,,3.0,1.0,11.0,2.0,5.0,1.0,3.0,,6.0,21.0,,,1.0,,1.0,82.0
28,"King, Jake",7,3,3,10,3,,,2.0,,2.0,,1.0,,1.0,,5.0,6.0,2.0,,1.0,1.0,1.0,89.0
4,"Martin, Dustin",26,7,7,33,4,2.0,,1.0,8.0,2.0,4.0,5.0,1.0,1.0,3.0,12.0,20.0,2.0,1.0,2.0,3.0,1.0,83.0
16,"McGuane, Luke",6,9,6,12,,,,,2.0,,,2.0,,1.0,,2.0,10.0,1.0,,5.0,,,100.0
13,"Miller, Brad",6,7,9,15,1,1.0,,6.0,,3.0,1.0,2.0,,1.0,,4.0,11.0,,2.0,4.0,,,97.0
26,"Nahas, Robin",15,6,11,26,,,,4.0,1.0,5.0,,4.0,3.0,2.0,,11.0,17.0,2.0,,1.0,,,81.0
22,"Nason, Ben",6,2,2,8,,,,4.0,,2.0,,1.0,,,,1.0,7.0,,,1.0,,,73.0
17,"Newman, Chris",10,4,5,15,,,,2.0,4.0,1.0,,1.0,1.0,1.0,,5.0,11.0,,,8.0,,1.0,73.0
18,"Rance, Alex",12,10,8,20,,,,3.0,2.0,,1.0,5.0,2.0,3.0,,6.0,16.0,1.0,,7.0,,,100.0
8,"Riewoldt, Jack",8,5,8,16,5,2.0,,5.0,,,1.0,2.0,1.0,1.0,,16.0,2.0,4.0,5.0,4.0,,2.0,100.0
21 ↑,"Tuck, Shane",3,1,8,11,,,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,,6.0,6.0,,,1.0,,,30.0
29 ↓,"Vickery, Ty",1,2,5,6,,,4.0,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,4.0,,,2.0,,,53.0
35,"White, Matt",5,3,1,6,1,1.0,,5.0,,3.0,,,,,,1.0,5.0,,1.0,2.0,,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,105,179,395,17,10.0,32.0,67.0,37.0,55.0,42.0,54.0,19.0,27.0,5.0,137.0,261.0,15.0,11.0,62.0,11.0,9.0,
Opposition,Opposition,190,56,145,335,14,19.0,36.0,84.0,33.0,58.0,44.0,45.0,27.0,19.0,1.0,157.0,174.0,10.0,11.0,53.0,8.0,8.0,
