Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",28y 285d,119 (77-1-41 65.13%),17 (0.14),←,
46,"Blicavs, Mark",33y 93d,260 (171-3-86 66.35%),67 (0.26),←,
12,"Bowes, Jack",26y 155d,112 (36-2-74 33.04%),26 (0.23),29 (15-1-13 53.45%),12 (0.41)
5,"Cameron, Jeremy",31y 89d,244 (125-3-116 51.84%),613 (2.51),73 (48-0-25 65.75%),186 (2.55)
13,"Clark, Jhye",19y 342d,14 (7-0-7 50.00%),2 (0.14),←,
45,"Close, Brad",25y 335d,91 (61-1-29 67.58%),82 (0.90),←,
35,"Dangerfield, Patrick",34y 85d,327 (195-2-130 59.94%),329 (1.01),173 (114-2-57 66.47%),166 (0.96)
16,"De Koning, Sam",23y 124d,57 (38-1-18 67.54%),2 (0.04),←,
28,"Dempsey, Oliver",21y 174d,22 (12-0-10 54.55%),15 (0.68),←,
22,"Duncan, Mitch",33y 19d,287 (203-2-82 71.08%),184 (0.64),←,
39,"Guthrie, Zach",25y 365d,92 (57-2-33 63.04%),14 (0.15),←,
38,"Henry, Jack",25y 305d,133 (88-1-44 66.54%),24 (0.18),←,
9,"Holmes, Max",21y 305d,66 (41-1-24 62.88%),32 (0.48),←,
17,"Humphries, Lawson",21y 157d,1 (1-0-0 100.00%),,←,
10,"Knevitt, Mitch",21y 173d,12 (7-0-5 58.33%),3 (0.25),←,
8,"Kolodjashnij, Jake",28y 325d,188 (122-3-63 65.69%),4 (0.02),←,
32,"Miers, Gryan",25y 91d,121 (78-1-42 64.88%),91 (0.75),←,
33,"Neale, Shannon",21y 340d,11 (5-0-6 45.45%),11 (1.00),←,
42,"OConnor, Mark",27y 164d,122 (80-0-42 65.57%),9 (0.07),←,
23,"Rohan, Gary",33y 22d,199 (132-2-65 66.83%),213 (1.07),93 (62-1-30 67.20%),117 (1.26)
18,"Stengle, Tyson",25y 254d,75 (42-1-32 56.67%),126 (1.68),59 (37-1-21 63.56%),111 (1.88)
44,"Stewart, Tom",31y 106d,162 (105-1-56 65.12%),4 (0.02),←,
2,"Tuohy, Zach",34y 202d,281 (151-3-127 54.27%),100 (0.36),161 (103-2-56 64.60%),60 (0.37)
Totals,Totals,27y 21d,2996 (1834-30-1132 61.21%),1968 (0.66),,
C,"Scott, Chris",48y 57d,324 (219-3-102 68.06%),,←,
