Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Charles, Sean",6,2,2,8,,,,1.0,,,,,,1.0,,,,,,,,,
23,"Clarkson, Alastair",5,,1,6,1,,,2.0,,,,,1.0,4.0,,,,,,,,,
33,"Farmer, Jeff",4,3,,4,4,,,,,,,,1.0,1.0,,,,,,,,,
21,"Febey, Steven",9,4,6,15,,,,1.0,,,,,,1.0,,,,,,,,,
48,"Grgic, Brent",3,2,3,6,,,,,,,,,,,,,,,,,,,
15,"Hopgood, Paul",6,2,4,10,,,,,,,,,,2.0,,,,,,,,,
27,"Ingerson, Anthony",3,4,7,10,,,,,,,,,,,,,,,,,,,
7,"Kowal, Darren",7,5,5,12,,,,,,,,,,1.0,,,,,,,,,
37,"Lamprill, Andrew",10,1,2,12,,,,1.0,,,,,3.0,2.0,,,,,,,,,
17,"Lovett, Brett",6,6,8,14,1,,,1.0,,,,,,2.0,,,,,,,,,
6,"Lovett, Glenn",11,3,12,23,,,,1.0,,,,,,1.0,,,,,,,,,
35,"McDonald, Anthony",13,5,5,18,,1.0,,,,,,,,3.0,,,,,,,,,
9,"Neitz, David",6,4,2,8,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,
14,"Newton, Leigh",7,1,1,8,1,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,
16,"Pyman, Robert",17,4,10,27,,,1.0,3.0,,,,,1.0,,,,,,,,,,
5,"Schwarz, David",9,7,3,12,1,3.0,2.0,1.0,,,,,1.0,3.0,,,,,,,,,
10,"Seecamp, Marcus",7,4,7,14,,,,1.0,,,,,2.0,3.0,,,,,,,,,
11,"Stynes, Jim",6,5,10,16,,,18.0,,,,,,,1.0,,,,,,,,,
12,"Viney, Todd",17,5,16,33,,,,4.0,,,,,1.0,5.0,2.0,,,,,,,,
22,"Woewodin, Shane",6,3,2,8,1,,,,,,,,,1.0,,,,,,,,,
13,"Yze, Adem",16,4,3,19,,,,2.0,,,,,2.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,174,74,109,283,9,10.0,23.0,21.0,,,,,14.0,33.0,2.0,,,,,,,,
Opposition,Opposition,205,92,88,293,14,18.0,26.0,22.0,,,,,33.0,14.0,4.0,,,,,,,,
