Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Bennell, Harley",10,3,17,27,,,,2.0,2.0,1.0,6.0,3.0,,,,13.0,14.0,,,2.0,1.0,,90.0
27,"Cameron, Clay",9,6,3,12,1,2.0,,1.0,1.0,1.0,,2.0,,2.0,,2.0,11.0,,1.0,1.0,1.0,1.0,97.0
12,"Day, Sam",2,1,8,10,,,19.0,1.0,2.0,1.0,3.0,3.0,,2.0,,8.0,3.0,,,4.0,,1.0,84.0
5,"Harbrow, Jarrod",13,2,9,22,,,,,1.0,6.0,1.0,3.0,,2.0,,6.0,15.0,,,3.0,2.0,1.0,94.0
28,"Kolodjashnij, Kade",4,4,,4,,,,6.0,1.0,,,2.0,,,,,5.0,,,2.0,1.0,,87.0
40,"Lemmens, Sean",6,2,5,11,2,,,,1.0,4.0,,2.0,,,,3.0,8.0,,1.0,,2.0,,85.0
38,"Leslie, Jack",4,3,8,12,,,4.0,1.0,,,,2.0,2.0,2.0,,6.0,6.0,,,2.0,,,83.0
37,"Lonergan, Jesse",3,,3,6,,,,3.0,,2.0,,,,,,1.0,5.0,,,1.0,3.0,,75.0
19,"Lynch, Tom",10,8,6,16,4,2.0,,4.0,,1.0,,4.0,,3.0,,8.0,8.0,2.0,6.0,2.0,,1.0,98.0
4,"Martin, Jack",11,9,6,17,,1.0,1.0,2.0,1.0,5.0,1.0,2.0,,2.0,,7.0,10.0,1.0,1.0,2.0,,2.0,81.0
32,"Matera, Brandon",14,5,5,19,2,3.0,,3.0,5.0,5.0,1.0,2.0,,,,6.0,13.0,,2.0,1.0,,2.0,86.0
18 ↓,"McKenzie, Trent",10,6,4,14,,,,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,5.0,9.0,,,3.0,,,62.0
1,"OMeara, Jaeger",12,7,12,24,,,,6.0,3.0,5.0,5.0,3.0,,,,12.0,12.0,,,1.0,,,76.0
10,"Prestia, Dion",15,2,13,28,2,,,7.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,10.0,18.0,,,2.0,2.0,,90.0
35,"Rischitelli, Michael",11,4,10,21,,,,5.0,1.0,2.0,4.0,2.0,,,,9.0,11.0,,,,1.0,1.0,81.0
6,"Sexton, Alex",2,1,2,4,,1.0,,1.0,,,1.0,1.0,,1.0,,2.0,2.0,,1.0,,,,80.0
26,"Shaw, Matt",10,6,4,14,1,,,2.0,2.0,1.0,,,,,,2.0,11.0,1.0,,,,1.0,78.0
25,"Stanley, Danny",10,6,5,15,,,,3.0,2.0,2.0,1.0,3.0,,1.0,,5.0,10.0,,,1.0,,,87.0
3 ↑,"Sumner, Timmy",3,1,1,4,,,,1.0,,1.0,,,,,,2.0,2.0,,1.0,,,1.0,19.0
24,"Swallow, David",17,2,10,27,1,1.0,2.0,8.0,2.0,5.0,9.0,2.0,5.0,1.0,,16.0,12.0,,,2.0,3.0,1.0,76.0
48,"Tape, Seb",1,,2,3,,,,1.0,,,1.0,2.0,1.0,2.0,,4.0,,,,4.0,,,99.0
16,"Thompson, Rory",9,4,2,11,,,,3.0,3.0,,,,,,,2.0,7.0,,,13.0,1.0,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,186,82,135,321,13,11.0,26.0,62.0,35.0,47.0,37.0,43.0,10.0,20.0,1.0,129.0,192.0,4.0,13.0,46.0,17.0,12.0,
Opposition,Opposition,224,114,140,364,16,12.0,54.0,78.0,29.0,57.0,33.0,36.0,20.0,10.0,5.0,134.0,231.0,14.0,15.0,47.0,13.0,13.0,
