Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
27,"Ball, Jason",30y 198d,143 (84-0-59 58.74%),150 (1.05),40 (21-0-19 52.50%),36 (0.90)
21,"Barry, Leo",26y 19d,109 (59-0-50 54.13%),50 (0.46),←,
6,"Bolton, Craig",23y 7d,40 (24-0-16 60.00%),10 (0.25),11 (7-0-4 63.64%),
24,"Bolton, Jude",23y 84d,78 (37-1-40 48.08%),47 (0.60),←,
8,"Cresswell, Daryn",32y 16d,231 (102-2-127 44.59%),192 (0.83),←,
28,"Crouch, Jared",25y 94d,119 (59-1-59 50.00%),22 (0.18),←,
2,"Davis, Nick",23y 69d,82 (37-0-45 45.12%),105 (1.28),11 (7-0-4 63.64%),20 (1.82)
12,"Fosdike, Nic",23y 101d,79 (38-1-40 48.73%),43 (0.54),←,
37,"Goodes, Adam",23y 150d,98 (47-1-50 48.47%),127 (1.30),←,
1,"Hall, Barry",26y 119d,116 (47-2-67 41.38%),228 (1.97),28 (13-1-14 48.21%),84 (3.00)
17,"Kennelly, Tadhg",21y 341d,39 (21-0-18 53.85%),14 (0.36),←,
31,"Kirk, Brett",26y 225d,60 (29-1-30 49.17%),29 (0.48),←,
4,"Mathews, Ben",24y 190d,98 (49-1-48 50.51%),16 (0.16),←,
11,"Maxfield, Stuart",31y 59d,249 (123-3-123 50.00%),140 (0.56),160 (88-2-70 55.63%),75 (0.47)
23,"Nicks, Matthew",28y 25d,139 (75-1-63 54.32%),105 (0.76),←,
5,"OKeefe, Ryan",22y 134d,32 (17-0-15 53.13%),23 (0.72),←,
19,"OLoughlin, Michael",26y 107d,170 (92-2-76 54.71%),256 (1.51),←,
30,"Roberts-Thomson, Lewis",19y 272d,4 (3-0-1 75.00%),2 (0.50),←,
25,"Schauble, Andrew",26y 202d,140 (57-0-83 40.71%),32 (0.23),61 (30-0-31 49.18%),21 (0.34)
36,"Schneider, Adam",19y 26d,11 (7-0-4 63.64%),16 (1.45),←,
33,"Warfe, Rowan",26y 349d,106 (45-0-61 42.45%),5 (0.05),80 (44-0-36 55.00%),4 (0.05)
10,"Williams, Paul",30y 65d,242 (107-3-132 44.83%),278 (1.15),53 (26-1-26 50.00%),55 (1.04)
Totals,Totals,25y 163d,2385 (1159-19-1207 48.60%),1890 (0.79),,
C,"Roos, Paul",39y 345d,21 (13-0-8 61.90%),,←,
