Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
14,"Birchall, Grant",29y 56d,241 (163-1-77 67.84%),33 (0.14),←,
22,"Breust, Luke",26y 134d,141 (110-0-31 78.01%),272 (1.93),←,
9,"Burgoyne, Shaun",34y 155d,320 (220-1-99 68.91%),259 (0.81),163 (123-1-39 75.77%),88 (0.54)
8,"Duryea, Taylor",25y 335d,87 (66-0-21 75.86%),14 (0.16),←,
12,"Frawley, James",28y 186d,180 (63-1-116 35.28%),24 (0.13),41 (29-0-12 70.73%),6 (0.15)
6,"Gibson, Josh",33y 12d,214 (139-2-73 65.42%),5 (0.02),149 (110-1-38 74.16%),3 (0.02)
19,"Gunston, Jack",25y 160d,128 (92-0-36 71.88%),271 (2.12),114 (87-0-27 76.32%),251 (2.20)
4,"Hartung, Billy",22y 60d,46 (34-0-12 73.91%),23 (0.50),←,
31,"Henderson, Ricky",28y 195d,91 (46-0-45 50.55%),43 (0.47),1 (0-0-1 0.00%),
29,"Langford, Will",24y 265d,47 (34-0-13 72.34%),17 (0.36),←,
7,"McEvoy, Ben",27y 257d,147 (89-2-56 61.22%),58 (0.39),56 (38-0-18 67.86%),31 (0.55)
3,"Mitchell, Tom",23y 298d,66 (42-0-24 63.64%),38 (0.58),1 (0-0-1 0.00%),
10,"OMeara, Jaeger",23y 30d,45 (18-0-27 40.00%),27 (0.60),1 (0-0-1 0.00%),
28,"Puopolo, Paul",29y 113d,134 (104-0-30 77.61%),134 (1.00),←,
33,"Rioli, Cyril",27y 254d,179 (123-1-55 68.99%),269 (1.50),←,
2,"Roughead, Jarryd",30y 61d,232 (150-1-81 64.87%),493 (2.13),←,
25,"Schoenmakers, Ryan",26y 137d,102 (64-0-38 62.75%),32 (0.31),←,
26,"Shiels, Liam",25y 330d,143 (106-0-37 74.13%),48 (0.34),←,
21,"Sicily, James",22y 78d,26 (18-0-8 69.23%),34 (1.31),←,
16,"Smith, Isaac",28y 85d,136 (106-0-30 77.94%),112 (0.82),←,
24,"Stratton, Ben",28y 24d,139 (99-1-39 71.58%),1 (0.01),←,
27,"Vickery, Ty",26y 298d,120 (56-2-62 47.50%),158 (1.32),1 (0-0-1 0.00%),
Totals,Totals,27y 61d,2964 (1942-12-1010 65.52%),2365 (0.80),,
C,"Clarkson, Alastair",48y 332d,284 (180-1-103 63.56%),,←,
