Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
31,"Banner, Mitchell",20y 56d,9 (4-0-5 44.44%),5 (0.56),←,
10,"Boak, Travis",21y 364d,65 (31-0-34 47.69%),27 (0.42),←,
5,"Broadbent, Matthew",19y 364d,10 (3-0-7 30.00%),3 (0.30),←,
20,"Brogan, Dean",31y 229d,158 (93-1-64 59.18%),47 (0.30),←,
27,"Carlile, Alipate",23y 92d,70 (30-0-40 42.86%),4 (0.06),←,
1,"Cassisi, Domenic",27y 312d,167 (90-1-76 54.19%),66 (0.40),←,
30,"Chaplin, Troy",24y 158d,97 (44-1-52 45.88%),9 (0.09),←,
18,"Cornes, Kane",27y 207d,202 (112-1-89 55.69%),80 (0.40),←,
33,"Ebert, Brett",26y 255d,135 (64-1-70 47.78%),204 (1.51),←,
17,"Gray, Robbie",22y 123d,42 (19-0-23 45.24%),62 (1.48),←,
45,"Hitchcock, Cameron",20y 28d,14 (4-0-10 28.57%),16 (1.14),←,
7,"Krakouer, Nathan",22y 87d,39 (21-0-18 53.85%),7 (0.18),←,
42,"Meyer, Danny",23y 362d,22 (10-0-12 45.45%),8 (0.36),5 (2-0-3 40.00%),1 (0.20)
26,"Moore, Andrew",19y 62d,3 (3-0-0 100.00%),,←,
6,"Pearce, Danyle",24y 115d,111 (49-0-62 44.14%),66 (0.59),←,
15,"Rodan, David",26y 296d,146 (56-0-90 38.36%),115 (0.79),81 (37-0-44 45.68%),72 (0.89)
19,"Salter, Nick",23y 1d,13 (4-0-9 30.77%),12 (0.92),←,
28,"Schulz, Jay",25y 104d,83 (30-2-51 37.35%),83 (1.00),12 (6-0-6 50.00%),25 (2.08)
43,"Stewart, Daniel",21y 274d,8 (2-0-6 25.00%),6 (0.75),←,
14,"Stewart, Paul",23y 21d,35 (12-0-23 34.29%),1 (0.03),←,
12,"Trengove, Jackson",19y 271d,15 (4-0-11 26.67%),3 (0.20),←,
39,"Westhoff, Justin",23y 303d,65 (30-0-35 46.15%),90 (1.38),←,
Totals,Totals,23y 219d,1509 (715-7-787 47.38%),914 (0.61),,
C,"Primus, Matthew",35y 200d,3 (2-0-1 66.67%),,←,
