North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",23y 278d,122 (71-0-51 58.20%),16 (0.13),←,
50,"Brown, Ben",23y 210d,46 (34-0-12 73.91%),71 (1.54),←,
15,"Dal Santo, Nick",32y 116d,313 (182-5-126 58.95%),154 (0.49),53 (37-0-16 69.81%),14 (0.26)
38,"Daw, Majak",25y 98d,19 (9-0-10 47.37%),20 (1.05),←,
14,"Dumont, Trent",20y 353d,11 (4-0-7 36.36%),3 (0.27),←,
11,"Firrito, Michael",32y 203d,265 (138-2-125 52.45%),29 (0.11),←,
43,"Gibson, Sam",30y 21d,98 (61-0-37 62.24%),41 (0.42),←,
22,"Goldstein, Todd",27y 352d,161 (90-1-70 56.21%),83 (0.52),←,
29,"Harvey, Brent",38y 34d,422 (233-3-186 55.57%),506 (1.20),←,
34,"Macmillan, Jamie",24y 268d,94 (55-0-39 58.51%),38 (0.40),←,
21,"McDonald, Luke",21y 129d,50 (33-0-17 66.00%),2 (0.04),←,
2,"McKenzie, Brad",23y 19d,29 (15-0-14 51.72%),5 (0.17),←,
17,"Mullett, Aaron",24y 115d,57 (33-0-24 57.89%),25 (0.44),←,
20,"Petrie, Drew",33y 246d,306 (157-3-146 51.80%),419 (1.37),←,
44,"Ray, Farren",30y 86d,207 (104-5-98 51.45%),59 (0.29),2 (1-0-1 50.00%),1 (0.50)
25,"Tarrant, Robbie",27y 53d,74 (42-0-32 56.76%),41 (0.55),←,
12,"Thomas, Lindsay",28y 110d,186 (96-2-88 52.15%),301 (1.62),←,
16,"Thompson, Scott",30y 39d,172 (88-2-82 51.74%),6 (0.03),←,
41,"Wagner, Corey",19y 86d,1 (0-0-1 0.00%),,←,
8,"Wells, Daniel",31y 135d,235 (123-2-110 52.77%),149 (0.63),←,
32,"Wood, Mason",22y 278d,14 (8-0-6 57.14%),14 (1.00),←,
7,"Ziebell, Jack",25y 110d,137 (73-0-64 53.28%),84 (0.61),←,
Totals,Totals,27y 36d,3019 (1649-25-1345 54.62%),2066 (0.68),,
C,"Scott, Brad",40y 45d,147 (83-0-64 56.46%),,←,
