Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 91d,47 (19-1-27 41.49%),27 (0.57),←,
18,"Cameron, Leon",18y 203d,21 (12-0-9 57.14%),8 (0.38),←,
20,"Coleman, Glenn",30y 49d,146 (79-1-66 54.45%),82 (0.56),21 (11-0-10 52.38%),18 (0.86)
22,"Cullen, Mark",22y 182d,26 (10-0-16 38.46%),16 (0.62),←,
26,"Del-Re, Danny",23y 40d,15 (7-0-8 46.67%),23 (1.53),←,
45,"Ford, Michael",28y 164d,82 (41-1-40 50.61%),17 (0.21),←,
32,"Foster, Peter",30y 295d,129 (68-2-59 53.49%),50 (0.39),122 (65-2-55 54.10%),48 (0.39)
29,"Grant, Chris",18y 101d,21 (11-0-10 52.38%),52 (2.48),←,
44,"Grant, Jamie",20y 274d,1 (0-0-1 0.00%),,←,
7,"Hawkins, Doug",30y 323d,244 (97-3-144 40.37%),127 (0.52),←,
10,"Hunter, Mark",25y 202d,40 (16-1-23 41.25%),2 (0.05),←,
8,"Kennedy, Rick",30y 103d,148 (63-2-83 43.24%),34 (0.23),←,
21,"Kolyniuk, Steven",20y 262d,32 (15-1-16 48.44%),34 (1.06),←,
39,"Liberatore, Tony",25y 41d,38 (22-0-16 57.89%),23 (0.61),←,
40,"Moloney, Troy",24y 310d,32 (14-1-17 45.31%),4 (0.13),←,
17,"Standfield, Barry",21y 39d,6 (2-0-4 33.33%),,←,
16,"Wallace, Terry",32y 101d,251 (147-2-102 58.96%),122 (0.49),66 (29-1-36 44.70%),19 (0.29)
24,"Wallis, Stephen",26y 148d,168 (85-2-81 51.19%),40 (0.24),←,
6,"Wigney, Stuart",21y 339d,42 (18-1-23 44.05%),20 (0.48),←,
15,"Wynd, Scott",21y 58d,36 (15-0-21 41.67%),6 (0.17),←,
Totals,Totals,24y 276d,1525 (741-18-766 48.59%),687 (0.45),,
C,"Wheeler, Terry",36y 11d,23 (12-0-11 52.17%),,←,
