Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",30y 25d,264 (145-2-117 55.30%),355 (1.34),72 (21-0-51 29.17%),93 (1.29)
11,"Bennell, Harley",21y 249d,55 (14-0-41 25.45%),66 (1.20),←,
36,"Broughton, Greg",27y 252d,96 (42-0-54 43.75%),19 (0.20),28 (13-0-15 46.43%),4 (0.14)
27,"Cameron, Clay",20y 12d,6 (2-0-4 33.33%),,←,
12,"Day, Sam",21y 275d,53 (17-0-36 32.08%),36 (0.68),←,
23,"Dixon, Charlie",23y 258d,42 (14-0-28 33.33%),40 (0.95),←,
5,"Harbrow, Jarrod",25y 325d,137 (61-1-75 44.89%),39 (0.28),67 (21-0-46 31.34%),18 (0.27)
7,"Hunt, Karmichael",27y 203d,44 (6-0-38 13.64%),6 (0.14),←,
28,"Kolodjashnij, Kade",18y 303d,9 (5-0-4 55.56%),4 (0.44),←,
19,"Lynch, Tom",21y 220d,49 (15-0-34 30.61%),58 (1.18),←,
32,"Matera, Brandon",22y 89d,49 (16-0-33 32.65%),53 (1.08),←,
17,"May, Steven",22y 149d,45 (15-0-30 33.33%),15 (0.33),←,
18,"McKenzie, Trent",22y 66d,68 (20-0-48 29.41%),19 (0.28),←,
1,"OMeara, Jaeger",20y 105d,33 (15-0-18 45.45%),20 (0.61),←,
10,"Prestia, Dion",21y 239d,62 (17-0-45 27.42%),17 (0.27),←,
35,"Rischitelli, Michael",28y 151d,168 (64-3-101 38.99%),73 (0.43),57 (15-0-42 26.32%),26 (0.46)
8,"Russell, Luke",22y 135d,52 (13-0-39 25.00%),21 (0.40),←,
26,"Shaw, Matt",22y 123d,63 (18-0-45 28.57%),24 (0.38),←,
2,"Smith, Zac",24y 106d,48 (10-0-38 20.83%),28 (0.58),←,
25,"Stanley, Danny",26y 110d,69 (21-0-48 30.43%),35 (0.51),64 (20-0-44 31.25%),35 (0.55)
24,"Swallow, David",21y 201d,62 (18-0-44 29.03%),33 (0.53),←,
16,"Thompson, Rory",23y 88d,42 (14-0-28 33.33%),7 (0.17),←,
Totals,Totals,23y 167d,1516 (562-6-948 37.07%),968 (0.64),,
C,"McKenna, Guy",45y 28d,77 (21-0-56 27.27%),,←,
