St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",23y 297d,52 (27-1-24 52.88%),31 (0.60),←,
27,"Blake, Jason",31y 24d,201 (112-5-84 56.97%),35 (0.17),←,
35,"Cripps, Jamie",19y 351d,6 (2-0-4 33.33%),8 (1.33),←,
26,"Dal Santo, Nick",28y 46d,218 (129-5-84 60.32%),120 (0.55),←,
24,"Dempster, Sean",28y 79d,121 (73-3-45 61.57%),17 (0.14),67 (38-3-26 58.96%),9 (0.13)
25,"Fisher, Sam",29y 273d,169 (106-4-59 63.91%),20 (0.12),←,
14,"Geary, Jarryn",23y 290d,54 (39-0-15 72.22%),12 (0.22),←,
19,"Gilbert, Sam",25y 233d,112 (71-4-37 65.18%),19 (0.17),←,
18,"Goddard, Brendon",26y 324d,187 (117-3-67 63.37%),93 (0.50),←,
7,"Hayes, Lenny",32y 85d,243 (123-6-114 51.85%),82 (0.34),←,
4,"Jones, Clinton",28y 66d,99 (67-4-28 69.70%),29 (0.29),←,
23,"Koschitzke, Justin",29y 201d,178 (101-3-74 57.58%),221 (1.24),←,
15,"Ledger, Tom",20y 22d,3 (2-0-1 66.67%),1 (0.33),←,
5,"McEvoy, Ben",22y 272d,55 (38-2-15 70.91%),15 (0.27),←,
32,"Milera, Terry",24y 91d,2 (1-0-1 50.00%),3 (1.50),←,
44,"Milne, Stephen",32y 31d,238 (130-5-103 55.67%),494 (2.08),←,
11,"Montagna, Leigh",28y 158d,171 (107-4-60 63.74%),101 (0.59),←,
16,"Newnes, Jack",19y 44d,1 (1-0-0 100.00%),,←,
12,"Riewoldt, Nick",29y 174d,221 (122-5-94 56.33%),479 (2.17),←,
31,"Simpkin, Tom",21y 245d,3 (2-0-1 66.67%),,←,
28,"Stanley, Rhys",21y 129d,11 (9-0-2 81.82%),8 (0.73),←,
3,"Steven, Jack",22y 11d,32 (18-1-13 57.81%),25 (0.78),←,
Totals,Totals,25y 306d,2377 (1397-55-925 58.77%),1813 (0.76),,
C,"Watters, Scott",43y 74d,2 (1-0-1 50.00%),,←,
