Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Bayes, Mark",10,1.0,3.0,13,,,3.0,2.0,,,,,3.0,4.0,,,,,,,,,
13,"Brunton, Neil",9,5.0,8.0,17,,1.0,,4.0,,,,,,,,,,,,,,,
21,"Bryce, Paul",6,3.0,4.0,10,,,6.0,3.0,,,,,1.0,2.0,,,,,,,,,
28,"Cresswell, Daryn",16,1.0,7.0,23,,,,1.0,,,,,2.0,1.0,,,,,,,,,
6,"Dunkley, Andrew",2,4.0,6.0,8,,1.0,3.0,3.0,,,,,1.0,5.0,,,,,,,,,
48,"Gray, Troy",3,1.0,5.0,8,,,,3.0,,,,,1.0,,,,,,,,,,
31,"Holmes, Darren",11,1.0,4.0,15,,,,1.0,,,,,2.0,1.0,,,,,,,,,
14,"Kelly, Paul",15,3.0,3.0,18,1.0,,,7.0,,,,,2.0,3.0,,,,,,,,,
1,"Lawson, Jamie",6,2.0,4.0,10,,,,3.0,,,,,,3.0,,,,,,,,,
3,"Lewis, Dale",8,2.0,8.0,16,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,
4,"McRae, Dean",9,3.0,10.0,19,1.0,1.0,,2.0,,,,,1.0,3.0,,,,,,,,,
8,"Minton-Connell, Simon",12,1.0,1.0,13,3.0,2.0,,,,,,,1.0,2.0,,,,,,,,,
18,"Nettelbeck, Craig",6,2.0,2.0,8,,,,,,,,,1.0,3.0,,,,,,,,,
44,"Osborne, Richard",10,1.0,3.0,13,,,,1.0,,,,,3.0,2.0,,,,,,,,,
22,"Rose, Gavin",1,2.0,7.0,8,,,,,,,,,2.0,4.0,,,,,,,,,
15,"Strooper, David",8,2.0,4.0,12,,1.0,10.0,1.0,,,,,2.0,,,,,,,,,,
42,"Thomson, Andrew",3,2.0,9.0,12,1.0,,,,,,,,,,,,,,,,,,
2,"Tunbridge, Brad",3,3.0,,3,1.0,,,,,,,,,2.0,,,,,,,,,
10,"Watters, Scott",9,1.0,12.0,21,,1.0,,1.0,,,,,,,,,,,,,,,
27,"Wheeler, Sanford",4,,3.0,7,,,,6.0,,,,,,1.0,,,,,,,,,
Totals,Totals,151,40.0,103.0,254,8.0,9.0,22.0,39.0,,,,,23.0,36.0,,,,,,,,,
Opposition,Opposition,226,74.0,154.0,380,33.0,21.0,26.0,36.0,,,,,36.0,23.0,6.0,,,,,,,,
