Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
17,"Brown, Nathan",19y 194d,12 (7-0-5 58.33%),8 (0.67),←,
18,"Cameron, Leon",24y 355d,130 (67-2-61 52.31%),55 (0.42),←,
12,"Cook, James",23y 228d,41 (25-0-16 60.98%),59 (1.44),16 (9-0-7 56.25%),24 (1.50)
26,"Cox, Simon",20y 210d,12 (4-0-8 33.33%),4 (0.33),←,
16,"Croft, Matthew",24y 178d,60 (32-2-26 55.00%),35 (0.58),←,
14,"Darcy, Luke",22y 42d,44 (19-1-24 44.32%),36 (0.82),←,
21,"Dent, Matthew",25y 218d,64 (15-0-49 23.44%),13 (0.20),17 (11-0-6 64.71%),4 (0.24)
28,"Dimattina, Paul",22y 274d,28 (16-0-12 57.14%),10 (0.36),←,
32,"Ellis, Craig",22y 80d,43 (21-0-22 48.84%),1 (0.02),←,
3,"Grant, Chris",24y 253d,164 (83-3-78 51.52%),308 (1.88),←,
6,"Johnson, Brad",21y 36d,73 (32-2-39 45.21%),45 (0.62),←,
2,"Kolyniuk, Steven",27y 49d,137 (68-1-68 50.00%),141 (1.03),←,
35,"Kretiuk, Steven",25y 50d,73 (39-1-33 54.11%),9 (0.12),←,
39,"Liberatore, Tony",31y 193d,194 (101-3-90 52.84%),89 (0.46),←,
23,"Martin, Michael",20y 179d,14 (5-1-8 39.29%),5 (0.36),←,
10,"Montgomery, Brett",24y 83d,13 (10-0-3 76.92%),15 (1.15),←,
36,"Romero, Jose",26y 22d,147 (75-1-71 51.36%),129 (0.88),58 (26-1-31 45.69%),31 (0.53)
5,"Smith, Rohan",24y 84d,96 (48-2-46 51.04%),64 (0.67),←,
8,"Southern, Daniel",22y 234d,63 (30-1-32 48.41%),10 (0.16),←,
7,"West, Scott",22y 282d,99 (48-1-50 48.99%),40 (0.40),←,
15,"Wynd, Scott",27y 210d,167 (81-3-83 49.40%),26 (0.16),←,
Totals,Totals,23y 356d,1674 (826-24-824 49.34%),1102 (0.66),,
C,"Wallace, Terry",38y 253d,31 (16-0-15 51.61%),,←,
