Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",30y 325d,269 (147-2-120 55.02%),360 (1.34),77 (23-0-54 29.87%),98 (1.27)
11,"Bennell, Harley",22y 184d,67 (17-0-50 25.37%),82 (1.22),←,
36,"Broughton, Greg",28y 187d,106 (45-0-61 42.45%),19 (0.18),38 (16-0-22 42.11%),4 (0.11)
12,"Day, Sam",22y 210d,65 (20-0-45 30.77%),45 (0.69),←,
41,"Garlett, Jarrod",18y 336d,1 (0-0-1 0.00%),,←,
15,"Gorringe, Daniel",22y 306d,21 (4-0-17 19.05%),7 (0.33),←,
14,"Hallahan, Mitch",22y 224d,7 (3-0-4 42.86%),2 (0.29),1 (0-0-1 0.00%),
5,"Harbrow, Jarrod",26y 260d,149 (64-1-84 43.29%),45 (0.30),79 (24-0-55 30.38%),24 (0.30)
28,"Kolodjashnij, Kade",19y 238d,19 (7-0-12 36.84%),5 (0.26),←,
7,"Malceski, Nick",30y 232d,177 (116-2-59 66.10%),67 (0.38),1 (0-0-1 0.00%),
4,"Martin, Jack",20y 65d,12 (4-0-8 33.33%),10 (0.83),←,
17,"May, Steven",23y 84d,54 (18-0-36 33.33%),15 (0.28),←,
18,"McKenzie, Trent",23y 1d,77 (23-0-54 29.87%),20 (0.26),←,
44,"Miller, Touk",19y 41d,1 (0-0-1 0.00%),1 (1.00),←,
10,"Prestia, Dion",22y 174d,74 (20-0-54 27.03%),22 (0.30),←,
35,"Rischitelli, Michael",29y 86d,179 (67-3-109 38.27%),79 (0.44),68 (18-0-50 26.47%),32 (0.47)
42,"Saad, Adam",20y 255d,1 (0-0-1 0.00%),1 (1.00),←,
6,"Sexton, Alex",21y 122d,25 (7-0-18 28.00%),11 (0.44),←,
26,"Shaw, Matt",23y 58d,73 (20-0-53 27.40%),27 (0.37),←,
2,"Smith, Zac",25y 41d,55 (12-0-43 21.82%),29 (0.53),←,
24,"Swallow, David",22y 136d,74 (21-0-53 28.38%),38 (0.51),←,
16,"Thompson, Rory",24y 23d,54 (17-0-37 31.48%),7 (0.13),←,
Totals,Totals,23y 229d,1560 (632-8-920 40.51%),892 (0.57),,
C,"Eade, Rodney",57y,315 (169-4-142 54.29%),,1 (0-0-1 0.00%),
