Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs,Subs
Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Atkins, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,On,-,-,-,1/0
"Bews, Jed",,-,-,-,-,-,-,Off,,-,-,-,-,-,-,-,On,-,-,-,-,-,-,-,-,1/1
"Blicavs, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Cameron, Jeremy",Off,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,0/1
"Ceglar, Jonathon",,,,,,,,,,,,,,,,,,,-,-,,-,,,,
"Close, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dahlhaus, Luke",-,-,On,-,-,-,On,,,,,-,-,,,,,,,-,,,,,,2/0
"Dangerfield, Patrick",-,-,-,-,-,,,-,-,Off,,,,,-,-,-,-,-,,-,-,-,-,-,0/1
"De Koning, Sam",-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Dempsey, Oliver",,,,,,-,-,,,,,,,,,,,,,,,,,,,
"Duncan, Mitch",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,
"Evans, Francis",On,,,,,,,-,,-,-,,-,,,,,,,,,,,,,1/0
"Guthrie, Cameron",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Off,0/1
"Guthrie, Zach",-,-,,On,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/0
"Hawkins, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henry, Jack",-,-,-,-,Off,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,0/1
"Higgins, Shaun",-,,-,,,-,-,,,,,,,,On,,,,,,,,,,,1/0
"Holmes, Max",-,-,-,-,-,-,Off,,,,,,,-,-,-,-,-,-,-,-,-,-,Off,,0/2
"Knevitt, Mitch",,,,,,,,On,-,,,,,,,,,,,,,,,,,1/0
"Kolodjashnij, Jake",-,-,-,-,On,-,-,-,-,-,-,,-,-,Off,,-,-,-,-,-,Off,Off,-,-,1/3
"Menegola, Sam",,,,,,,,,,,,,-,-,-,-,Off,,,-,-,,,,,0/1
"Miers, Gryan",,,,-,-,-,-,-,-,On,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1/0
"Narkle, Quinton",,-,,Off,,,,-,-,,-,On,,,-,-,,,,,,,,,,1/1
"Neale, Shannon",,,,,,,,,,,-,,,,,,,On,,,,,,,,1/0
"OConnor, Mark",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,On,-,On,On,-,3/0
"Parfitt, Brandan",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,On,-,-,-,,,On,2/0
"Ratugolea, Esava",-,-,Off,,,,,,,,,,,,,,,,,,,-,,,,0/1
"Rohan, Gary",,,,,,,,,,-,,-,,,-,-,-,-,Off,,-,-,-,-,-,0/1
"Selwood, Joel",-,-,-,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,
"Smith, Isaac",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Stanley, Rhys",-,-,-,-,-,-,-,,-,,,-,-,-,-,-,-,Off,,-,Off,,-,-,-,0/2
"Stengle, Tyson",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stephens, Cooper",,,,,,,,-,-,-,-,-,-,-,,,,,,,,,,,,
"Stewart, Tom",-,-,-,,-,-,-,-,-,-,-,Off,-,-,,,,,-,-,-,-,-,-,-,0/1
"Tuohy, Zach",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,ES,SY,CW,BL,HW,NM,FR,GW,SK,PA,AD,WB,WC,RI,NM,ME,CA,PA,WB,SK,GC,WC,CW,BL,SY,
