Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",22y 59d,78 (36-1-41 46.79%),6 (0.08),←,
14,"Bedford, Toby",23y 84d,33 (22-0-11 66.67%),19 (0.58),15 (10-0-5 66.67%),10 (0.67)
32,"Briggs, Kieren",23y 317d,22 (13-0-9 59.09%),7 (0.32),←,
46,"Brown, Callum",23y 4d,25 (12-0-13 48.00%),21 (0.84),←,
44,"Buckley, Jack",25y 245d,39 (19-1-19 50.00%),,←,
3,"Coniglio, Stephen",29y 247d,199 (90-1-108 45.48%),112 (0.56),←,
13,"Cumming, Isaac",25y 8d,71 (32-1-38 45.77%),4 (0.06),←,
16,"Daniels, Brent",24y 163d,78 (42-0-36 53.85%),45 (0.58),←,
34,"Fahey, Josh",19y 281d,7 (5-0-2 71.43%),4 (0.57),←,
4,"Greene, Toby",29y 328d,211 (98-2-111 46.92%),321 (1.52),←,
12,"Green, Tom",22y 208d,63 (27-1-35 43.65%),26 (0.41),←,
27,"Himmelberg, Harry",27y 103d,148 (79-2-67 54.05%),161 (1.09),←,
23,"Hogan, Jesse",28y 188d,136 (61-0-75 44.85%),266 (1.96),46 (20-0-26 43.48%),96 (2.09)
39,"Idun, Connor",23y 21d,64 (30-1-33 47.66%),,←,
25,"Keeffe, Lachlan",33y 127d,107 (55-0-52 51.40%),17 (0.16),67 (30-0-37 44.78%),10 (0.15)
22,"Kelly, Josh",28y 188d,194 (101-3-90 52.84%),120 (0.62),←,
38,"Lloyd, Daniel",31y 182d,97 (49-4-44 52.58%),72 (0.74),←,
31,"McMullin, Toby",19y 13d,2 (1-0-1 50.00%),1 (0.50),←,
36,"Perryman, Harry",24y 243d,104 (52-1-51 50.48%),25 (0.24),←,
26,"Riccardi, Jake",23y 285d,46 (21-0-25 45.65%),53 (1.15),←,
15,"Taylor, Sam",24y 106d,90 (48-0-42 53.33%),1 (0.01),←,
8,"Ward, Callan",33y 131d,291 (129-4-158 45.02%),143 (0.49),231 (97-4-130 42.86%),110 (0.48)
6,"Whitfield, Lachie",29y 32d,205 (99-4-102 49.27%),71 (0.35),←,
Totals,Totals,25y 330d,2310 (1121-26-1163 48.53%),1495 (0.65),,
C,"Kingsley, Adam",47y 364d,22 (12-0-10 54.55%),,←,
