Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
29,"Ablett, Gary",25y 38d,156 (98-2-56 63.46%),204 (1.31),←,
3,"Bartel, Jimmy",25y 199d,145 (97-2-46 67.59%),90 (0.62),←,
24,"Blake, Mark",23y 285d,70 (57-0-13 81.43%),10 (0.14),←,
17,"Byrnes, Shannon",25y 75d,63 (48-0-15 76.19%),44 (0.70),←,
35,"Chapman, Paul",27y 228d,165 (100-2-63 61.21%),220 (1.33),←,
11,"Corey, Joel",27y 124d,186 (115-2-69 62.37%),55 (0.30),←,
44,"Enright, Corey",27y 280d,162 (99-2-61 61.73%),48 (0.30),←,
15,"Gamble, Ryan",21y 271d,19 (17-0-2 89.47%),27 (1.42),←,
26,"Hawkins, Tom",20y 335d,30 (27-0-3 90.00%),42 (1.40),←,
28,"Johnson, David",27y 236d,76 (43-1-32 57.24%),16 (0.21),←,
20,"Johnson, Steve",25y 352d,124 (85-2-37 69.35%),246 (1.98),←,
9,"Kelly, James",25y 174d,141 (89-1-51 63.48%),62 (0.44),←,
45,"Ling, Cameron",28y 114d,192 (120-3-69 63.28%),109 (0.57),←,
4,"Mackie, Andrew",24y 318d,94 (73-0-21 77.66%),56 (0.60),←,
39,"Milburn, Darren",32y 67d,245 (142-1-102 58.16%),87 (0.36),←,
21,"Mooney, Cameron",29y 268d,179 (117-1-61 65.64%),228 (1.27),168 (107-1-60 63.99%),226 (1.35)
41,"Mumford, Shane",22y 351d,12 (12-0-0 100.00%),1 (0.08),←,
33,"Rooke, Max",27y 184d,123 (76-2-45 62.60%),48 (0.39),←,
30,"Scarlett, Matthew",30y 16d,218 (134-2-82 61.93%),16 (0.07),←,
14,"Selwood, Joel",21y 26d,57 (53-0-4 92.98%),17 (0.30),←,
7,"Taylor, Harry",23y 9d,32 (30-0-2 93.75%),3 (0.09),←,
5,"Varcoe, Travis",21y 72d,46 (42-0-4 91.30%),44 (0.96),←,
Totals,Totals,25y 249d,2535 (1674-23-838 66.04%),1673 (0.66),,
C,"Thompson, Mark",45y 214d,222 (134-3-85 61.04%),,←,
