Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
7,"Cunningham, Harry",23y 263d,79 (55-0-24 69.62%),41 (0.52),←,
23,"Franklin, Lance",30y 208d,269 (172-1-96 64.13%),856 (3.18),87 (63-0-24 72.41%),276 (3.17)
39,"Grundy, Heath",31y 85d,235 (149-2-84 63.83%),23 (0.10),←,
9,"Hayward, Will",18y 304d,17 (10-0-7 58.82%),22 (1.29),←,
5,"Heeney, Isaac",21y 113d,56 (41-0-15 73.21%),58 (1.04),←,
29,"Hewett, George",21y 240d,46 (33-0-13 71.74%),27 (0.59),←,
15,"Jack, Kieren",30y 59d,227 (143-3-81 63.66%),152 (0.67),←,
10,"Jones, Zak",22y 164d,52 (32-0-20 61.54%),14 (0.27),←,
12,"Kennedy, Josh",29y 67d,202 (131-2-69 65.35%),129 (0.64),189 (126-2-61 67.20%),125 (0.66)
44,"Lloyd, Jake",23y 340d,90 (65-0-25 72.22%),22 (0.24),←,
3,"McVeigh, Jarrad",32y 141d,298 (187-4-107 63.42%),198 (0.66),←,
43,"Melican, Lewis",20y 295d,17 (13-0-4 76.47%),1 (0.06),←,
14,"Mills, Callum",20y 146d,44 (29-0-15 65.91%),1 (0.02),←,
28,"Newman, Nic",24y 223d,18 (12-0-6 66.67%),7 (0.39),←,
26,"Parker, Luke",24y 305d,149 (101-1-47 68.12%),117 (0.79),←,
24,"Rampe, Dane",27y 85d,113 (80-1-32 71.24%),6 (0.05),←,
20,"Reid, Sam",25y 242d,118 (82-2-34 70.34%),123 (1.04),←,
16,"Rohan, Gary",26y 80d,93 (62-1-30 67.20%),87 (0.94),←,
18,"Sinclair, Callum",27y 337d,62 (45-1-16 73.39%),39 (0.63),33 (23-0-10 69.70%),21 (0.64)
40,"Smith, Nick",29y 75d,189 (121-2-66 64.55%),10 (0.05),←,
8,"Tippett, Kurt",30y 110d,178 (104-0-74 58.43%),325 (1.83),74 (51-0-23 68.92%),137 (1.85)
22,"Towers, Dean",27y 114d,47 (35-0-12 74.47%),23 (0.49),←,
Totals,Totals,25y 331d,2599 (1702-20-877 65.49%),2281 (0.88),,
C,"Longmire, John",46y 238d,171 (116-2-53 68.42%),,←,
