Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
8,"Burns, Ronnie",29y 88d,124 (65-2-57 53.23%),230 (1.85),←,
35,"Chapman, Paul",20y 216d,18 (8-0-10 44.44%),10 (0.56),←,
14,"Clarke, David",22y 25d,68 (30-1-37 44.85%),40 (0.59),←,
11,"Corey, Joel",20y 112d,30 (13-0-17 43.33%),8 (0.27),←,
44,"Enright, Corey",20y 268d,22 (9-0-13 40.91%),7 (0.32),←,
16,"Gardiner, Charlie",19y 100d,1 (1-0-0 100.00%),,←,
7,"Graham, Ben",28y 219d,163 (92-1-70 56.75%),81 (0.50),←,
25,"Grgic, Brent",22y 244d,82 (37-0-45 45.12%),30 (0.37),5 (2-0-3 40.00%),1 (0.20)
2,"Harley, Tom",23y 326d,66 (32-1-33 49.24%),5 (0.08),65 (31-1-33 48.46%),4 (0.06)
9,"Kelly, James",18y 162d,4 (2-0-2 50.00%),1 (0.25),←,
13,"Kilpatrick, Glenn",29y 284d,139 (76-1-62 55.04%),35 (0.25),113 (62-1-50 55.31%),31 (0.27)
1,"King, Steven",23y 199d,113 (54-1-58 48.23%),57 (0.50),←,
18,"Kingsley, Kent",23y 256d,39 (23-0-16 58.97%),67 (1.72),27 (12-0-15 44.44%),57 (2.11)
45,"Ling, Cameron",21y 102d,34 (17-1-16 51.47%),20 (0.59),←,
24,"Lord, Aaron",26y 323d,134 (67-2-65 50.75%),170 (1.27),41 (27-1-13 67.07%),34 (0.83)
39,"Milburn, Darren",25y 55d,93 (42-0-51 45.16%),43 (0.46),←,
15,"Riccardi, Peter",29y 174d,210 (119-2-89 57.14%),214 (1.02),←,
33,"Rooke, Max",20y 172d,10 (5-0-5 50.00%),1 (0.10),←,
30,"Scarlett, Matthew",23y 4d,58 (30-0-28 51.72%),7 (0.12),←,
12,"Sholl, Brad",29y 211d,165 (89-2-74 54.55%),46 (0.28),163 (89-2-72 55.21%),46 (0.28)
36,"Street, Peter",22y 3d,6 (3-0-3 50.00%),,←,
40,"Wojcinski, David",21y 264d,27 (12-0-15 44.44%),3 (0.11),←,
Totals,Totals,23y 273d,1606 (826-14-766 51.43%),1075 (0.67),,
C,"Thompson, Mark",38y 202d,56 (26-1-29 47.32%),,←,
