Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 146d,54 (23-1-30 43.52%),29 (0.54),←,
35,"Baxter, Darren",26y 60d,90 (41-2-47 46.67%),12 (0.13),←,
18,"Cameron, Leon",18y 258d,27 (15-0-12 55.56%),12 (0.44),←,
1,"Charles, Justin",20y 232d,17 (9-0-8 52.94%),8 (0.47),←,
20,"Coleman, Glenn",30y 104d,153 (83-1-69 54.58%),86 (0.56),28 (15-0-13 53.57%),22 (0.79)
22,"Cullen, Mark",22y 237d,31 (13-0-18 41.94%),22 (0.71),←,
12,"Eppelstun, Greg",24y 183d,87 (44-1-42 51.15%),1 (0.01),←,
45,"Ford, Michael",28y 219d,88 (44-1-43 50.57%),18 (0.20),←,
32,"Foster, Peter",30y 350d,136 (72-2-62 53.68%),51 (0.38),129 (69-2-58 54.26%),49 (0.38)
19,"Gow, Paul",21y 356d,3 (2-0-1 66.67%),,←,
7,"Hawkins, Doug",31y 13d,251 (101-3-147 40.84%),149 (0.59),←,
43,"Hogg, Matthew",22y 148d,51 (22-1-28 44.12%),4 (0.08),←,
10,"Hunter, Mark",25y 257d,47 (20-1-26 43.62%),2 (0.04),←,
39,"Liberatore, Tony",25y 96d,45 (26-0-19 57.78%),29 (0.64),←,
27,"Macpherson, Stephen",26y 167d,126 (59-2-65 47.62%),132 (1.05),←,
34,"Sexton, Ben",18y 201d,1 (1-0-0 100.00%),5 (5.00),←,
16,"Wallace, Terry",32y 156d,254 (148-2-104 58.66%),123 (0.48),69 (30-1-38 44.20%),20 (0.29)
24,"Wallis, Stephen",26y 203d,175 (89-2-84 51.43%),40 (0.23),←,
6,"Wigney, Stuart",22y 29d,45 (19-1-25 43.33%),21 (0.47),←,
15,"Wynd, Scott",21y 113d,43 (19-0-24 44.19%),6 (0.14),←,
Totals,Totals,24y 341d,1724 (850-20-854 49.30%),750 (0.44),,
C,"Wheeler, Terry",36y 66d,30 (16-0-14 53.33%),,←,
