Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Greg",12,1,5,17,,,,,,,,,1.0,2.0,,,,,,,,,
8,"Bewick, Darren",16,5,4,20,,,,1.0,,,,,1.0,2.0,,,,,,,,,
40,"Burns, Adrian",1,,1,2,,1.0,,2.0,,,,,,2.0,,,,,,,,,
23,"Cransberg, Peter",10,6,5,15,,2.0,,2.0,,,,,3.0,2.0,,,,,,,,,
6,"Daniher, Anthony",8,5,4,12,,,1.0,1.0,,,,,,1.0,,,,,,,,,
5,"Daniher, Terry",12,4,8,20,,,,3.0,,,,,4.0,,,,,,,,,,
15,"Ezard, Alan",17,1,1,18,,,,4.0,,,,,3.0,4.0,,,,,,,,,
29,"Grenvold, David",4,4,4,8,,,,1.0,,,,,1.0,2.0,,,,,,,,,
16,"Hamilton, Paul",7,2,3,10,,,,,,,,,1.0,,,,,,,,,,
1,"Harvey, Mark",15,5,1,16,1,3.0,,,,,,,1.0,,,,,,,,,,
9,"Kickett, Derek",7,1,2,9,1,,,2.0,,,,,1.0,1.0,,,,,,,,,
4,"Long, Michael",7,4,2,9,,,,1.0,,,,,,2.0,,,,,,,,,
27,"Madden, Simon",7,3,5,12,,1.0,7.0,1.0,,,,,2.0,2.0,,,,,,,,,
41,"Manning, Andrew",4,3,10,14,,,,2.0,,,,,,4.0,,,,,,,,,
10,"ODonnell, Gary",7,1,4,11,,,,1.0,,,,,1.0,,,,,,,,,,
3,"Salmon, Paul",13,12,7,20,3,1.0,9.0,,,,,,,3.0,,,,,,,,,
26,"Thompson, Mark",14,3,6,20,1,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
18,"Vander Haar, Paul",9,7,1,10,1,1.0,1.0,4.0,,,,,1.0,,,,,,,,,,
30,"Walsh, Kevin",1,1,2,3,,,2.0,,,,,,,,,,,,,,,,
32,"Watson, Tim",8,,9,17,,,,3.0,,,,,2.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,68,84,263,7,12.0,20.0,29.0,,,,,23.0,28.0,,,,,,,,,
Opposition,Opposition,215,74,98,313,17,15.0,19.0,47.0,,,,,28.0,23.0,,,,,,,,,
