Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Bain, David",18,8.0,8,26,,,,1.0,,,,,1.0,2.0,,,,,,,,,
4,"Gastev, John",6,,5,11,,,,,,,,,1.0,,,,,,,,,,
5,"Hardie, Brad",11,4.0,2,13,3.0,3.0,,,,,,,2.0,2.0,,,,,,,,,
47,"Harris, Bernie",4,1.0,4,8,,2.0,,,,,,,,1.0,,,,,,,,,
9,"Ishchenko, Alex",10,7.0,10,20,,,11.0,1.0,,,,,3.0,1.0,,,,,,,,,
35,"Keane, Gavin",25,7.0,8,33,,,,1.0,,,,,4.0,3.0,,,,,,,,,
41,"Kennedy, Matthew",6,5.0,5,11,,,,,,,,,1.0,1.0,,,,,,,,,
36,"Kennedy, Michael",12,3.0,7,19,,,,2.0,,,,,1.0,3.0,,,,,,,,,
17,"Leslie, Martin",13,2.0,7,20,,,,,,,,,4.0,1.0,,,,,,,,,
7,"McIvor, Scott",24,7.0,8,32,,,,2.0,,,,,3.0,1.0,,,,,,,,,
24,"Merrett, Roger",7,6.0,4,11,,2.0,,,,,,,2.0,3.0,,,,,,,,,
31,"OKeeffe, David",7,2.0,2,9,,,,1.0,,,,,1.0,3.0,,,,,,,,,
8,"Richardson, Michael",8,2.0,7,15,,,,,,,,,1.0,2.0,,,,,,,,,
27,"Roberts, Mark",11,5.0,6,17,,1.0,1.0,2.0,,,,,2.0,2.0,,,,,,,,,
6,"Rowe, Brad",12,3.0,6,18,3.0,3.0,,,,,,,2.0,,,,,,,,,,
20,"Sim, Lachlan",16,7.0,5,21,1.0,,,2.0,,,,,3.0,,,,,,,,,,
29,"Taylor, Andrew",3,4.0,5,8,,,,1.0,,,,,2.0,1.0,,,,,,,,,
14,"Umbers, Richard",3,2.0,3,6,,,,1.0,,,,,1.0,1.0,,,,,,,,,
2,"Williams, Mark",6,5.0,5,11,1.0,2.0,,3.0,,,,,1.0,1.0,,,,,,,,,
21,"Zanotti, Mark",11,6.0,6,17,,,,2.0,,,,,2.0,3.0,,,,,,,,,
Totals,Totals,213,86.0,113,326,8.0,13.0,12.0,19.0,,,,,37.0,31.0,,,,,,,,,
Opposition,Opposition,214,76.0,94,308,19.0,11.0,16.0,16.0,,,,,31.0,37.0,6.0,,,,,,,,
